row,col,lon,lat,clim_mean_mm,clim_std_mm,n_years,recent_mm,cover_days,last_day,anomaly_pct,z_score
1,11,-70.7473,-32.0291,34.87,36.89,21,210.6,17,2026-07-17,504.0,4.76
2,8,-71.0668,-32.1145,41.03,39.47,21,171.7,17,2026-07-17,318.5,3.31
2,9,-70.9609,-32.1162,42.34,40.88,21,180.8,17,2026-07-17,327.0,3.39
2,10,-70.855,-32.1178,40.87,39.75,21,177.2,17,2026-07-17,333.6,3.43
2,11,-70.749,-32.1193,39.02,39.05,21,203.2,17,2026-07-17,420.8,4.2
3,4,-71.493,-32.197,29.01,26.03,21,158.1,17,2026-07-17,445.0,4.96
3,5,-71.3869,-32.1991,29.8,27.97,21,159.1,17,2026-07-17,433.9,4.62
3,6,-71.2809,-32.201,33.14,31.51,21,177.0,17,2026-07-17,434.1,4.57
3,7,-71.1749,-32.2029,37.93,35.9,21,190.7,17,2026-07-17,402.8,4.26
3,8,-71.0689,-32.2047,42.83,40.54,21,190.7,17,2026-07-17,345.2,3.65
3,9,-70.9628,-32.2064,45.14,42.8,21,193.5,17,2026-07-17,328.7,3.47
3,10,-70.8568,-32.208,44.08,42.01,21,184.7,17,2026-07-17,319.0,3.35
3,11,-70.7507,-32.2095,42.81,40.98,21,167.6,17,2026-07-17,291.5,3.05
3,12,-70.6447,-32.2109,44.83,43.88,21,195.5,17,2026-07-17,336.1,3.43
3,13,-70.5386,-32.2122,47.25,48.0,21,195.5,17,2026-07-17,313.8,3.09
4,5,-71.3893,-32.2892,29.98,26.66,21,163.3,17,2026-07-17,444.7,5.0
4,6,-71.2832,-32.2912,32.79,29.91,21,163.0,17,2026-07-17,397.1,4.35
4,7,-71.1771,-32.293,37.88,34.58,21,157.8,17,2026-07-17,316.6,3.47
4,8,-71.0709,-32.2948,42.86,39.4,21,168.3,17,2026-07-17,292.7,3.18
4,9,-70.9648,-32.2965,46.45,43.06,21,199.2,17,2026-07-17,328.8,3.55
4,10,-70.8586,-32.2981,46.82,43.84,21,147.6,17,2026-07-17,215.2,2.3
4,11,-70.7525,-32.2997,46.74,43.6,21,175.5,17,2026-07-17,275.5,2.95
4,12,-70.6463,-32.3011,48.26,46.43,21,160.3,17,2026-07-17,232.2,2.41
4,13,-70.5401,-32.3024,49.46,49.63,21,172.3,17,2026-07-17,248.4,2.48
4,14,-70.4339,-32.3037,50.9,52.9,21,208.7,17,2026-07-17,310.0,2.98
4,15,-70.3277,-32.3048,53.07,55.44,21,231.7,17,2026-07-17,336.6,3.22
5,6,-71.2855,-32.3813,32.44,28.39,21,176.9,17,2026-07-17,445.3,5.09
5,7,-71.1792,-32.3832,37.81,33.4,21,172.5,17,2026-07-17,356.2,4.03
5,8,-71.073,-32.385,43.26,38.72,21,168.3,17,2026-07-17,289.0,3.23
5,9,-70.9667,-32.3867,47.0,42.31,21,156.3,17,2026-07-17,232.6,2.58
5,10,-70.8605,-32.3883,48.78,44.11,21,156.3,17,2026-07-17,220.4,2.44
5,11,-70.7542,-32.3898,50.24,45.63,21,141.2,17,2026-07-17,181.1,1.99
5,12,-70.6479,-32.3913,51.66,48.69,21,150.2,17,2026-07-17,190.7,2.02
5,13,-70.5416,-32.3926,51.51,50.94,21,155.7,17,2026-07-17,202.3,2.05
5,14,-70.4354,-32.3939,52.05,53.79,21,146.2,17,2026-07-17,180.9,1.75
5,15,-70.3291,-32.395,54.87,56.91,21,217.6,17,2026-07-17,296.6,2.86
6,5,-71.3941,-32.4695,30.71,25.67,21,168.8,17,2026-07-17,449.7,5.38
6,6,-71.2877,-32.4715,33.5,28.33,21,173.3,17,2026-07-17,417.3,4.93
6,7,-71.1814,-32.4733,38.56,33.1,21,161.5,17,2026-07-17,318.8,3.71
