row,col,lon,lat,clim_mean_mm,clim_std_mm,n_years,recent_mm,cover_days,last_day,anomaly_pct,z_score,factor_correccion,recent_v2_mm,clim_om_mean_mm,clim_om_std_mm,anomaly_v2_pct,z_v2,pctl_empirico,anhos_superados,supera_max_21a
1,11,-70.7473,-32.0291,35.51,36.92,21,249.9,17,2026-07-18T09:00,603.7,5.81,0.43,107.5,39.71,42.66,170.7,1.59,86.4,19,False
2,8,-71.0668,-32.1145,41.28,39.6,21,213.7,17,2026-07-18T09:00,417.7,4.35,0.444,94.9,39.07,40.12,142.9,1.39,86.4,19,False
2,9,-70.9609,-32.1162,42.68,41.05,21,218.2,17,2026-07-18T09:00,411.2,4.28,0.418,91.2,39.07,40.12,133.4,1.3,86.4,19,False
2,10,-70.855,-32.1178,41.33,39.93,21,222.8,17,2026-07-18T09:00,439.1,4.54,0.401,89.3,33.7,36.63,165.0,1.52,86.4,19,False
2,11,-70.749,-32.1193,39.7,39.14,21,249.6,17,2026-07-18T09:00,528.7,5.36,0.408,101.8,33.7,36.63,202.1,1.86,86.4,19,False
3,4,-71.493,-32.197,29.04,26.04,21,180.9,17,2026-07-18T09:00,522.9,5.83,0.497,89.9,27.2,24.95,230.5,2.51,90.9,20,False
3,5,-71.3869,-32.1991,29.83,27.98,21,178.3,17,2026-07-18T09:00,497.7,5.31,0.492,87.7,27.2,24.95,222.4,2.42,90.9,20,False
3,6,-71.2809,-32.201,33.23,31.56,21,195.9,17,2026-07-18T09:00,489.5,5.15,0.484,94.8,34.28,32.96,176.6,1.84,86.4,19,False
3,7,-71.1749,-32.2029,38.11,36.0,21,215.0,17,2026-07-18T09:00,464.2,4.91,0.469,100.8,34.28,32.96,194.1,2.02,86.4,19,False
3,8,-71.0689,-32.2047,43.1,40.7,21,215.0,17,2026-07-18T09:00,398.8,4.22,0.445,95.7,46.0,44.25,108.1,1.12,86.4,19,False
3,9,-70.9628,-32.2064,45.51,43.0,21,223.9,17,2026-07-18T09:00,392.0,4.15,0.409,91.6,46.0,44.25,99.2,1.03,86.4,19,False
3,10,-70.8568,-32.208,44.58,42.22,21,206.8,17,2026-07-18T09:00,363.9,3.84,0.378,78.2,46.0,44.25,70.0,0.73,81.8,18,False
3,11,-70.7507,-32.2095,43.43,41.16,21,211.8,17,2026-07-18T09:00,387.7,4.09,0.391,82.8,44.41,42.32,86.4,0.91,86.4,19,False
3,12,-70.6447,-32.2109,45.61,43.98,21,242.2,17,2026-07-18T09:00,431.0,4.47,0.43,104.1,44.41,42.32,134.4,1.41,86.4,19,False
3,13,-70.5386,-32.2122,48.08,48.08,21,242.2,17,2026-07-18T09:00,403.7,4.04,0.458,110.9,49.54,49.79,123.9,1.23,86.4,19,False
4,5,-71.3893,-32.2892,30.02,26.67,21,193.1,17,2026-07-18T09:00,543.2,6.11,0.497,96.0,27.2,24.95,252.9,2.76,90.9,20,False
4,6,-71.2832,-32.2912,32.87,29.95,21,178.3,17,2026-07-18T09:00,442.4,4.86,0.491,87.5,34.28,32.96,155.3,1.61,86.4,19,False
4,7,-71.1771,-32.293,38.05,34.66,21,179.9,17,2026-07-18T09:00,372.8,4.09,0.48,86.4,34.28,32.96,152.1,1.58,86.4,19,False
4,8,-71.0709,-32.2948,43.13,39.52,21,194.2,17,2026-07-18T09:00,350.3,3.82,0.46,89.3,46.0,44.25,94.2,0.98,86.4,19,False
4,9,-70.9648,-32.2965,46.83,43.22,21,222.3,17,2026-07-18T09:00,374.7,4.06,0.429,95.4,46.0,44.25,107.4,1.12,86.4,19,False
4,10,-70.8586,-32.2981,47.34,44.01,21,182.1,17,2026-07-18T09:00,284.7,3.06,0.402,73.2,44.41,42.32,64.8,0.68,86.4,19,False
4,11,-70.7525,-32.2997,47.42,43.75,21,227.5,17,2026-07-18T09:00,379.8,4.12,0.417,94.9,44.41,42.32,113.7,1.19,86.4,19,False
4,12,-70.6463,-32.3011,49.08,46.5,21,207.7,17,2026-07-18T09:00,323.2,3.41,0.454,94.3,44.41,42.32,112.3,1.18,86.4,19,False
4,13,-70.5401,-32.3024,50.29,49.68,21,221.5,17,2026-07-18T09:00,340.4,3.45,0.475,105.2,49.54,49.79,112.4,1.12,86.4,19,False
4,14,-70.4339,-32.3037,51.76,52.94,21,244.0,17,2026-07-18T09:00,371.4,3.63,0.481,117.4,49.54,49.79,137.0,1.36,86.4,19,False
4,15,-70.3277,-32.3048,53.98,55.48,21,255.3,17,2026-07-18T09:00,373.0,3.63,0.482,123.1,52.71,56.43,133.5,1.25,86.4,19,False
5,6,-71.2855,-32.3813,32.5,28.41,21,216.9,17,2026-07-18T09:00,567.4,6.49,0.5,108.4,33.99,30.33,219.0,2.45,86.4,19,False
5,7,-71.1792,-32.3832,37.97,33.46,21,188.8,17,2026-07-18T09:00,397.2,4.51,0.495,93.5,33.99,30.33,175.1,1.96,86.4,19,False
5,8,-71.073,-32.385,43.52,38.79,21,194.2,17,2026-07-18T09:00,346.2,3.88,0.485,94.2,46.43,42.63,102.9,1.12,86.4,19,False
5,9,-70.9667,-32.3867,47.39,42.41,21,170.7,17,2026-07-18T09:00,260.2,2.91,0.473,80.7,46.43,42.63,73.8,0.8,86.4,19,False
5,10,-70.8605,-32.3883,49.34,44.24,21,170.7,17,2026-07-18T09:00,246.0,2.74,0.471,80.4,53.5,47.84,50.3,0.56,81.8,18,False
5,11,-70.7542,-32.3898,50.98,45.75,21,167.3,17,2026-07-18T09:00,228.2,2.54,0.489,81.8,53.5,47.84,52.9,0.59,81.8,18,False
5,12,-70.6479,-32.3913,52.51,48.74,21,191.1,17,2026-07-18T09:00,263.9,2.84,0.505,96.5,53.5,47.84,80.4,0.9,86.4,19,False
5,13,-70.5416,-32.3926,52.34,50.97,21,205.3,17,2026-07-18T09:00,292.2,3.0,0.501,102.9,51.0,50.38,101.8,1.03,86.4,19,False
5,14,-70.4354,-32.3939,52.87,53.81,21,193.0,17,2026-07-18T09:00,265.0,2.6,0.492,95.0,51.0,50.38,86.3,0.87,86.4,19,False
5,15,-70.3291,-32.395,55.77,56.93,21,251.3,17,2026-07-18T09:00,350.6,3.43,0.485,121.9,56.02,58.83,117.6,1.12,86.4,19,False
6,5,-71.3941,-32.4695,30.73,25.66,21,183.4,17,2026-07-18T09:00,496.8,5.95,0.503,92.3,33.99,30.33,171.6,1.92,86.4,19,False
6,6,-71.2877,-32.4715,33.56,28.34,21,209.5,17,2026-07-18T09:00,524.3,6.21,0.508,106.4,33.99,30.33,213.1,2.39,86.4,19,False
6,7,-71.1814,-32.4733,38.71,33.13,21,185.8,17,2026-07-18T09:00,380.0,4.44,0.509,94.6,33.99,30.33,178.4,2.0,86.4,19,False
6,8,-71.075,-32.4751,44.27,38.43,21,198.5,17,2026-07-18T09:00,348.4,4.01,0.506,100.4,46.43,42.63,116.2,1.27,86.4,19,False
6,9,-70.9687,-32.4769,48.18,42.05,21,183.6,17,2026-07-18T09:00,281.1,3.22,0.507,93.1,46.43,42.63,100.5,1.09,86.4,19,False
6,10,-70.8623,-32.4785,50.56,44.25,21,158.7,17,2026-07-18T09:00,213.9,2.44,0.525,83.3,46.43,42.63,79.4,0.86,86.4,19,False
6,11,-70.7559,-32.48,52.57,46.23,21,159.8,17,2026-07-18T09:00,204.0,2.32,0.57,91.1,53.5,47.84,70.3,0.79,86.4,19,False
6,12,-70.6496,-32.4814,53.08,48.75,21,170.1,17,2026-07-18T09:00,220.5,2.4,0.573,97.5,53.5,47.84,82.2,0.92,86.4,19,False
6,13,-70.5432,-32.4828,52.29,50.52,21,193.0,17,2026-07-18T09:00,269.1,2.79,0.525,101.3,51.0,50.38,98.6,1.0,86.4,19,False
6,14,-70.4368,-32.484,51.71,53.13,21,193.0,17,2026-07-18T09:00,273.2,2.66,0.495,95.5,51.0,50.38,87.3,0.88,86.4,19,False
6,15,-70.3304,-32.4852,56.67,57.23,21,235.2,17,2026-07-18T09:00,315.0,3.12,0.483,113.6,56.02,58.83,102.8,0.98,81.8,18,False
6,16,-70.224,-32.4863,61.81,62.03,21,237.7,17,2026-07-18T09:00,284.6,2.84,0.479,113.9,56.02,58.83,103.3,0.98,81.8,18,False
7,5,-71.3965,-32.5596,32.07,26.59,21,184.0,17,2026-07-18T09:00,473.7,5.71,0.499,91.8,33.99,30.33,170.1,1.91,86.4,19,False
7,6,-71.29,-32.5616,35.41,29.37,21,205.4,17,2026-07-18T09:00,480.1,5.79,0.515,105.8,33.99,30.33,211.3,2.37,86.4,19,False
7,7,-71.1836,-32.5635,40.46,33.9,21,189.4,17,2026-07-18T09:00,368.1,4.39,0.522,98.9,33.99,30.33,191.0,2.14,86.4,19,False
7,8,-71.0771,-32.5653,45.67,38.77,21,180.1,17,2026-07-18T09:00,294.4,3.47,0.52,93.7,46.43,42.63,101.8,1.11,86.4,19,False
7,9,-70.9707,-32.567,49.47,42.49,21,160.4,17,2026-07-18T09:00,224.2,2.61,0.519,83.2,46.43,42.63,79.2,0.86,86.4,19,False
7,10,-70.8642,-32.5686,50.47,43.67,21,165.9,17,2026-07-18T09:00,228.7,2.64,0.538,89.3,53.5,47.84,66.9,0.75,81.8,18,False
7,11,-70.7577,-32.5702,51.11,44.38,21,165.9,17,2026-07-18T09:00,224.6,2.59,0.63,104.5,53.5,47.84,95.3,1.07,86.4,19,False
7,12,-70.6512,-32.5716,51.34,44.84,21,150.1,17,2026-07-18T09:00,192.4,2.2,0.629,94.4,53.5,47.84,76.4,0.85,86.4,19,False
7,13,-70.5447,-32.573,50.08,48.05,21,195.9,17,2026-07-18T09:00,291.2,3.03,0.517,101.3,51.0,50.38,98.6,1.0,86.4,19,False
7,14,-70.4382,-32.5742,50.59,50.77,21,226.8,17,2026-07-18T09:00,348.3,3.47,0.48,108.9,51.0,50.38,113.5,1.15,86.4,19,False
7,15,-70.3317,-32.5754,56.13,55.82,21,235.2,17,2026-07-18T09:00,319.0,3.21,0.472,111.0,56.02,58.83,98.1,0.93,77.3,17,False
7,16,-70.2252,-32.5765,63.74,62.85,21,243.6,17,2026-07-18T09:00,282.2,2.86,0.472,115.0,56.02,58.83,105.3,1.0,81.8,18,False
8,5,-71.3989,-32.6497,32.07,26.59,21,184.0,17,2026-07-18T09:00,473.7,5.71,0.485,89.2,38.36,30.83,132.5,1.65,86.4,19,False
8,6,-71.2923,-32.6517,37.65,30.88,21,205.8,17,2026-07-18T09:00,446.6,5.45,0.525,108.0,39.85,33.5,171.0,2.03,86.4,19,False
8,7,-71.1858,-32.6536,42.49,35.17,21,205.8,17,2026-07-18T09:00,384.3,4.64,0.538,110.7,39.85,33.5,177.8,2.12,86.4,19,False
8,8,-71.0792,-32.6554,47.28,39.58,21,185.7,17,2026-07-18T09:00,292.8,3.5,0.531,98.6,48.91,42.57,101.6,1.17,86.4,19,False
8,9,-70.9726,-32.6572,50.2,42.47,21,197.9,17,2026-07-18T09:00,294.2,3.48,0.52,102.9,48.91,42.57,110.4,1.27,86.4,19,False
8,10,-70.8661,-32.6588,49.88,42.35,21,170.7,17,2026-07-18T09:00,242.2,2.85,0.515,87.9,46.75,40.83,88.0,1.01,86.4,19,False
8,11,-70.7595,-32.6603,49.28,42.01,21,183.8,17,2026-07-18T09:00,273.0,3.2,0.501,92.1,46.75,40.83,97.0,1.11,86.4,19,False
8,12,-70.6529,-32.6618,48.73,42.25,21,151.6,17,2026-07-18T09:00,211.1,2.43,0.48,72.8,46.75,40.83,55.7,0.64,86.4,19,False
8,13,-70.5463,-32.6631,47.69,45.29,21,133.4,17,2026-07-18T09:00,179.7,1.89,0.447,59.6,45.06,43.82,32.3,0.33,68.2,15,False
8,14,-70.4397,-32.6644,49.19,48.45,21,243.9,17,2026-07-18T09:00,395.8,4.02,0.443,108.0,60.45,60.34,78.7,0.79,77.3,17,False
8,15,-70.333,-32.6656,56.35,55.1,21,243.9,17,2026-07-18T09:00,332.8,3.4,0.453,110.5,60.45,60.34,82.8,0.83,77.3,17,False
8,16,-70.2264,-32.6667,66.48,64.3,21,213.1,17,2026-07-18T09:00,220.5,2.28,0.462,98.5,60.45,60.34,63.0,0.63,77.3,17,False
9,5,-71.4013,-32.7399,36.41,29.13,21,187.7,17,2026-07-18T09:00,415.5,5.19,0.468,87.8,38.36,30.83,128.9,1.6,86.4,19,False
9,6,-71.2946,-32.7419,37.65,30.88,21,197.9,17,2026-07-18T09:00,425.6,5.19,0.556,110.0,39.85,33.5,176.1,2.09,86.4,19,False
9,7,-71.188,-32.7438,42.49,35.17,21,196.7,17,2026-07-18T09:00,362.9,4.38,0.571,112.3,39.85,33.5,181.8,2.16,86.4,19,False
9,8,-71.0813,-32.7456,47.28,39.58,21,185.7,17,2026-07-18T09:00,292.8,3.5,0.546,101.4,48.91,42.57,107.3,1.23,86.4,19,False
9,9,-70.9746,-32.7473,50.2,42.47,21,231.4,17,2026-07-18T09:00,361.0,4.27,0.521,120.6,48.91,42.57,146.6,1.68,86.4,19,False
9,10,-70.8679,-32.749,49.88,42.35,21,183.9,17,2026-07-18T09:00,268.7,3.16,0.54,99.3,46.75,40.83,112.4,1.29,86.4,19,False
9,11,-70.7612,-32.7505,48.6,40.32,21,183.8,17,2026-07-18T09:00,278.2,3.35,0.431,79.2,46.75,40.83,69.4,0.79,86.4,19,False
9,12,-70.6545,-32.752,47.61,40.28,21,153.5,17,2026-07-18T09:00,222.4,2.63,0.384,58.9,46.75,40.83,26.0,0.3,72.7,16,False
9,13,-70.5478,-32.7533,47.31,43.78,21,127.4,17,2026-07-18T09:00,169.3,1.83,0.361,46.0,46.75,40.83,-1.6,-0.02,54.5,12,False
9,14,-70.4411,-32.7546,48.89,47.52,21,162.4,17,2026-07-18T09:00,232.2,2.39,0.403,65.4,45.06,43.82,45.1,0.46,81.8,18,False
9,15,-70.3344,-32.7558,58.8,55.98,21,213.1,17,2026-07-18T09:00,262.4,2.76,0.435,92.7,60.45,60.34,53.4,0.53,72.7,16,False
9,16,-70.2277,-32.7569,69.71,65.82,21,213.1,17,2026-07-18T09:00,205.7,2.18,0.454,96.7,60.45,60.34,60.0,0.6,77.3,17,False
10,4,-71.5104,-32.8279,40.56,30.27,21,170.1,17,2026-07-18T09:00,319.4,4.28,0.388,66.0,38.36,30.83,72.0,0.9,86.4,19,False
10,5,-71.4037,-32.83,37.47,28.96,21,191.9,17,2026-07-18T09:00,412.1,5.33,0.528,101.3,38.36,30.83,164.1,2.04,86.4,19,False
10,6,-71.2969,-32.832,39.09,30.97,21,181.2,17,2026-07-18T09:00,363.5,4.59,0.653,118.3,39.85,33.5,196.9,2.34,90.9,20,False
10,7,-71.1902,-32.8339,44.02,35.34,21,182.0,17,2026-07-18T09:00,313.4,3.9,0.64,116.5,39.85,33.5,192.4,2.29,86.4,19,False
10,8,-71.0834,-32.8357,49.16,40.07,21,200.9,17,2026-07-18T09:00,308.7,3.79,0.571,114.7,48.91,42.57,134.5,1.55,86.4,19,False
10,9,-70.9766,-32.8375,50.9,41.75,21,200.9,17,2026-07-18T09:00,294.7,3.59,0.5,100.4,48.91,42.57,105.3,1.21,86.4,19,False
10,10,-70.8698,-32.8391,50.02,41.16,21,181.2,17,2026-07-18T09:00,262.3,3.19,0.489,88.6,46.75,40.83,89.5,1.03,86.4,19,False
10,11,-70.763,-32.8407,48.6,40.32,21,143.1,17,2026-07-18T09:00,194.4,2.34,0.463,66.3,46.75,40.83,41.8,0.48,77.3,17,False
10,12,-70.6562,-32.8421,47.61,40.28,21,153.5,17,2026-07-18T09:00,222.4,2.63,0.391,60.0,46.75,40.83,28.3,0.32,72.7,16,False
10,13,-70.5494,-32.8435,47.31,43.78,21,149.8,17,2026-07-18T09:00,216.6,2.34,0.352,52.7,46.75,40.83,12.7,0.15,63.6,14,False
10,14,-70.4426,-32.8448,48.89,47.52,21,123.0,17,2026-07-18T09:00,151.6,1.56,0.397,48.8,45.06,43.82,8.3,0.09,54.5,12,False
10,15,-70.3357,-32.846,58.8,55.98,21,147.0,17,2026-07-18T09:00,150.0,1.58,0.433,63.7,60.45,60.34,5.4,0.05,59.1,13,False
10,16,-70.2289,-32.847,69.71,65.82,21,254.9,17,2026-07-18T09:00,265.7,2.81,0.453,115.5,60.45,60.34,91.1,0.91,77.3,17,False
10,17,-70.1221,-32.8481,80.63,76.17,21,239.4,17,2026-07-18T09:00,196.9,2.08,0.466,111.6,60.45,60.34,84.6,0.85,77.3,17,False
11,5,-71.4061,-32.9201,37.96,27.94,21,194.2,17,2026-07-18T09:00,411.6,5.59,0.628,122.0,40.84,29.94,198.7,2.71,95.5,21,True
11,6,-71.2993,-32.9221,39.69,30.01,21,194.2,17,2026-07-18T09:00,389.3,5.15,0.744,144.5,42.48,32.07,240.2,3.18,95.5,21,True
11,7,-71.1924,-32.9241,45.24,34.87,21,182.0,17,2026-07-18T09:00,302.3,3.92,0.695,126.5,42.48,32.07,197.8,2.62,95.5,21,True
11,8,-71.0855,-32.9259,51.17,40.39,21,168.1,17,2026-07-18T09:00,228.5,2.9,0.635,106.7,54.49,43.88,95.8,1.19,81.8,18,False
11,9,-70.9786,-32.9276,53.64,42.81,21,191.2,17,2026-07-18T09:00,256.5,3.21,0.548,104.8,54.49,43.88,92.3,1.15,81.8,18,False
11,10,-70.8717,-32.9293,51.17,40.79,21,167.0,17,2026-07-18T09:00,226.4,2.84,0.496,82.8,45.8,37.35,80.8,0.99,86.4,19,False
11,11,-70.7648,-32.9308,48.73,39.12,21,167.0,17,2026-07-18T09:00,242.7,3.02,0.49,81.8,45.8,37.35,78.6,0.96,86.4,19,False
11,12,-70.6579,-32.9323,47.21,38.62,21,140.4,17,2026-07-18T09:00,197.4,2.41,0.444,62.3,45.8,37.35,36.0,0.44,72.7,16,False
11,13,-70.551,-32.9337,47.77,40.59,21,140.4,17,2026-07-18T09:00,193.9,2.28,0.418,58.7,48.55,44.03,20.9,0.23,59.1,13,False
11,14,-70.444,-32.9349,51.2,48.41,21,111.5,17,2026-07-18T09:00,117.8,1.25,0.427,47.6,48.55,44.03,-2.0,-0.02,54.5,12,False
11,15,-70.3371,-32.9361,61.34,57.02,21,147.0,17,2026-07-18T09:00,139.6,1.5,0.446,65.6,48.55,44.03,35.1,0.39,68.2,15,False
