estacion,codigo,lat,lon,alt_m,elev_openmeteo_m,dist_nucleo_km,agua24h_mm,model_win24_mm,model_cal24_mm,error_mm,ratio_model_obs,momento_utc,en_aoi,flag
Llanos de Caleu - La Dormida,330193,-33.04944,-71.00139,1413.0,1445.0,0.0,120.1,117.1,120.5,-3.0,0.98,2026-07-18 00:45:00,True,OK: usada en validacion
Quillota  Liceo Agrícola,320124,-32.90722,-71.27139,93.0,101.0,29.7,84.9,110.7,104.8,25.8,1.3,2026-07-18 01:00:00,True,OK: usada en validacion
Panquehue,320122,-32.76917,-70.835,515.0,521.0,34.8,71.8,128.8,123.2,57.0,1.79,2026-07-18 01:00:00,True,OK: usada en validacion
Rodelillo  Ad.,330007,-33.06528,-71.55639,337.0,325.0,51.8,67.1,117.7,117.3,50.6,1.75,2026-07-18 01:00:00,True,OK: usada en validacion
Llay Llay  Las Peñas,320045,-32.88139,-70.91305,420.0,421.0,20.4,65.0,143.9,142.7,78.9,2.21,2026-07-18 00:45:00,True,OK: usada en validacion
Viña del Mar  Ad. (Torquemada),320041,-32.94944,-71.47611,136.0,131.0,45.6,64.7,96.6,93.1,31.9,1.49,2026-07-18 01:00:00,True,OK: usada en validacion
Jardín Botánico (ex Parque Fauna)  Viña del Mar,330006,-33.045,-71.50194,73.0,59.0,46.7,64.2,103.6,100.1,39.4,1.61,2026-07-18 00:45:00,True,OK: usada en validacion
El Tártaro (Putaendo),320121,-32.57083,-70.70417,925.0,930.0,60.0,58.5,86.9,83.6,28.4,1.49,2026-07-18 01:00:00,True,OK: usada en validacion
Chincolco Liceo agrícola,320049,-32.2225,-70.83167,663.0,664.0,93.3,44.8,119.1,114.0,74.3,2.66,2026-07-18 00:45:00,True,OK: usada en validacion
San Felipe Escuela Agrícola,320019,-32.75528,-70.70694,659.0,666.0,42.7,40.8,110.8,102.9,70.0,2.72,2026-07-18 00:45:00,True,OK: usada en validacion
San Esteban  Liceo,320123,-32.80111,-70.57805,836.0,837.0,48.2,31.9,97.1,89.5,65.2,3.04,2026-07-18 01:00:00,True,OK: usada en validacion
Santo Domingo  Ad.,330030,-33.65611,-71.61333,68.0,71.0,88.2,31.8,89.0,71.6,57.2,2.8,2026-07-18 00:44:00,True,OK: usada en validacion
San Antonio  Lo Zarate,330161,-33.53055,-71.50611,84.0,99.0,71.2,31.8,88.1,77.5,56.3,2.77,2026-07-18 00:30:00,True,OK: usada en validacion
Quintero  Climatológica,320056,-32.78417,-71.52278,8.0,0.0,56.9,31.4,93.8,86.6,62.4,2.99,2026-07-18 01:00:00,True,OK: usada en validacion
Zapallar Catapilco,320063,-32.56139,-71.29778,69.0,79.0,60.9,1.2,112.1,99.6,110.9,93.42,2026-07-18 00:45:00,True,SOSPECHOSA: obs ~0 en pleno evento (dato DMC dudoso)
