serie,clay,fc,pwp,aw
AGUA DEL GATO,30.5,35.0,26.0,9.0
ARTIFICIO,47.5,31.0,21.0,10.0
BOCHINCHE,9.8,,,
CALLE LARGA,23.3,25.0,17.0,8.0
CAMPICHE,15.1,22.0,10.0,12.0
CASABLANCA,32.0,27.0,19.0,8.0
CATAPILCO,16.1,24.0,12.0,12.0
CATEMU,17.1,20.0,10.0,10.0
CODIGUA,19.7,22.0,12.0,10.0
COLUNQUÉN,37.0,44.0,29.0,15.0
CRISTO REDENTOR,30.2,25.0,15.0,10.0
CURIMÓN,26.9,21.0,12.0,9.0
CHAGRES,30.7,,,
CHILICAUQUÉN,14.6,17.0,9.0,8.0
ENCÓN,5.8,9.0,4.0,5.0
GRANIZO,11.1,12.0,6.0,6.0
HIJUELAS,20.8,33.0,18.0,15.0
HUALCAPO,8.4,16.0,9.0,7.0
JAHUEL,11.3,19.0,9.0,10.0
JAURURO,19.9,25.0,18.0,7.0
LA CALERA,20.4,33.0,24.0,9.0
LA GLORIA,10.2,,,
LA LIGUA,30.4,26.0,13.0,13.0
LAS CHILCAS,49.8,43.0,33.0,10.0
LAS ROSAS,9.4,11.0,6.0,5.0
LAS VARILLAS,23.6,19.0,12.0,7.0
LO CAMPO,33.8,47.0,32.0,15.0
LONCURA,9.2,9.0,7.0,2.0
LONGOTOMA,6.8,9.0,5.0,4.0
LOS HORNOS,30.2,35.0,17.0,18.0
LOS PIDENES,16.1,,,
LO VÁSQUEZ,14.8,,9.0,12.0
LLAY LLAY,48.4,,24.0,20.0
LLIU LLIU,20.5,26.0,14.0,12.0
MAITENES,26.9,1.0,15.0,10.0
MANTAGUA,14.5,17.0,10.0,7.0
MILAGRO,9.2,14.0,8.0,6.0
OCOA,21.6,,22.0,7.0
OLMUÉ,13.3,22.0,15.0,7.0
PALOMAR,41.4,76.0,40.0,36.0
PANQUEHUE,37.9,,,
LA PATAGUA,22.0,34.0,21.0,13.0
POCURO,18.0,23.0,13.0,10.0
PUCALÁN,43.7,44.0,29.0,15.0
PULLALLI,30.8,33.0,20.0,13.0
PUTAENDO,23.9,27.0,13.0,14.0
QUEBRADILLA,11.7,20.0,11.0,9.0
QUILLOTA,33.7,36.0,22.0,14.0
RUNGUE,48.1,31.0,23.0,8.0
SAN FRANCISCO DE LIMACHE,15.5,18.0,9.0,9.0
SAN ISIDRO,35.0,32.0,25.0,13.0
SAN LORENZO,22.3,25.0,15.0,10.0
SANTA AMALIA DE CASABLANCA,15.1,12.0,6.0,6.0
SANTA MARÍA,22.9,,16.0,11.0
SANTA RITA DE CASABLANCA,8.8,13.0,8.0,5.0
SANTA ROSA DE CASABLANCA,7.5,9.0,5.0,4.0
SANTO DOMINGO,6.1,,,
TABOLANGO,9.8,16.0,6.0,10.0
TAPIHUE,13.9,22.0,10.0,12.0
TRONADOR,61.5,40.0,25.0,15.0
VALLE ALEGRE,21.0,29.0,16.0,13.0
VICHICULÉN,15.0,,,
