row,col,lon,lat,clim_mean_mm,clim_std_mm,n_years
1,11,-70.7473,-32.0291,34.87,36.89,21
2,8,-71.0668,-32.1145,41.03,39.47,21
2,9,-70.9609,-32.1162,42.34,40.88,21
2,10,-70.8550,-32.1178,40.87,39.75,21
2,11,-70.7490,-32.1193,39.02,39.05,21
3,4,-71.4930,-32.1970,29.01,26.03,21
3,5,-71.3869,-32.1991,29.80,27.97,21
3,6,-71.2809,-32.2010,33.14,31.51,21
3,7,-71.1749,-32.2029,37.93,35.90,21
3,8,-71.0689,-32.2047,42.83,40.54,21
3,9,-70.9628,-32.2064,45.14,42.80,21
3,10,-70.8568,-32.2080,44.08,42.01,21
3,11,-70.7507,-32.2095,42.81,40.98,21
3,12,-70.6447,-32.2109,44.83,43.88,21
3,13,-70.5386,-32.2122,47.25,48.00,21
4,5,-71.3893,-32.2892,29.98,26.66,21
4,6,-71.2832,-32.2912,32.79,29.91,21
4,7,-71.1771,-32.2930,37.88,34.58,21
4,8,-71.0709,-32.2948,42.86,39.40,21
4,9,-70.9648,-32.2965,46.45,43.06,21
4,10,-70.8586,-32.2981,46.82,43.84,21
4,11,-70.7525,-32.2997,46.74,43.60,21
4,12,-70.6463,-32.3011,48.26,46.43,21
4,13,-70.5401,-32.3024,49.46,49.63,21
4,14,-70.4339,-32.3037,50.90,52.90,21
4,15,-70.3277,-32.3048,53.07,55.44,21
5,6,-71.2855,-32.3813,32.44,28.39,21
5,7,-71.1792,-32.3832,37.81,33.40,21
5,8,-71.0730,-32.3850,43.26,38.72,21
5,9,-70.9667,-32.3867,47.00,42.31,21
5,10,-70.8605,-32.3883,48.78,44.11,21
5,11,-70.7542,-32.3898,50.24,45.63,21
5,12,-70.6479,-32.3913,51.66,48.69,21
5,13,-70.5416,-32.3926,51.51,50.94,21
5,14,-70.4354,-32.3939,52.05,53.79,21
5,15,-70.3291,-32.3950,54.87,56.91,21
6,5,-71.3941,-32.4695,30.71,25.67,21
6,6,-71.2877,-32.4715,33.50,28.33,21
6,7,-71.1814,-32.4733,38.56,33.10,21
6,8,-71.0750,-32.4751,44.04,38.38,21
6,9,-70.9687,-32.4769,47.82,41.96,21
6,10,-70.8623,-32.4785,50.01,44.12,21
6,11,-70.7559,-32.4800,51.84,46.11,21
6,12,-70.6496,-32.4814,52.25,48.71,21
6,13,-70.5432,-32.4828,51.51,50.50,21
6,14,-70.4368,-32.4840,50.98,53.13,21
6,15,-70.3304,-32.4852,55.79,57.22,21
6,16,-70.2240,-32.4863,60.77,62.00,21
7,5,-71.3965,-32.5596,32.06,26.60,21
7,6,-71.2900,-32.5616,35.37,29.36,21
7,7,-71.1836,-32.5635,40.36,33.86,21
7,8,-71.0771,-32.5653,45.50,38.70,21
7,9,-70.9707,-32.5670,49.19,42.38,21
7,10,-70.8642,-32.5686,50.00,43.52,21
7,11,-70.7577,-32.5702,50.45,44.25,21
7,12,-70.6512,-32.5716,50.54,44.77,21
7,13,-70.5447,-32.5730,49.39,48.04,21
7,14,-70.4382,-32.5742,49.91,50.77,21
7,15,-70.3317,-32.5754,55.28,55.80,21
7,16,-70.2252,-32.5765,62.64,62.80,21
8,5,-71.3989,-32.6497,32.06,26.60,21
8,6,-71.2923,-32.6517,37.62,30.87,21
8,7,-71.1858,-32.6536,42.42,35.13,21
8,8,-71.0792,-32.6554,47.17,39.51,21
8,9,-70.9726,-32.6572,49.99,42.35,21
8,10,-70.8661,-32.6588,49.49,42.19,21
8,11,-70.7595,-32.6603,48.70,41.87,21
