row,col,lon,lat,clim_mean_mm,clim_std_mm,n_years
1,11,-70.7473,-32.0291,39.71,42.66,21
2,8,-71.0668,-32.1145,39.07,40.12,21
2,9,-70.9609,-32.1162,39.07,40.12,21
2,10,-70.8550,-32.1178,33.70,36.63,21
2,11,-70.7490,-32.1193,33.70,36.63,21
3,4,-71.4930,-32.1970,27.20,24.95,21
3,5,-71.3869,-32.1991,27.20,24.95,21
3,6,-71.2809,-32.2010,34.28,32.96,21
3,7,-71.1749,-32.2029,34.28,32.96,21
3,8,-71.0689,-32.2047,46.00,44.25,21
3,9,-70.9628,-32.2064,46.00,44.25,21
3,10,-70.8568,-32.2080,46.00,44.25,21
3,11,-70.7507,-32.2095,44.41,42.32,21
3,12,-70.6447,-32.2109,44.41,42.32,21
3,13,-70.5386,-32.2122,49.54,49.79,21
4,5,-71.3893,-32.2892,27.20,24.95,21
4,6,-71.2832,-32.2912,34.28,32.96,21
4,7,-71.1771,-32.2930,34.28,32.96,21
4,8,-71.0709,-32.2948,46.00,44.25,21
4,9,-70.9648,-32.2965,46.00,44.25,21
4,10,-70.8586,-32.2981,44.41,42.32,21
4,11,-70.7525,-32.2997,44.41,42.32,21
4,12,-70.6463,-32.3011,44.41,42.32,21
4,13,-70.5401,-32.3024,49.54,49.79,21
4,14,-70.4339,-32.3037,49.54,49.79,21
4,15,-70.3277,-32.3048,52.71,56.43,21
5,6,-71.2855,-32.3813,33.99,30.33,21
5,7,-71.1792,-32.3832,33.99,30.33,21
5,8,-71.0730,-32.3850,46.43,42.63,21
5,9,-70.9667,-32.3867,46.43,42.63,21
5,10,-70.8605,-32.3883,53.50,47.84,21
5,11,-70.7542,-32.3898,53.50,47.84,21
5,12,-70.6479,-32.3913,53.50,47.84,21
5,13,-70.5416,-32.3926,51.00,50.38,21
5,14,-70.4354,-32.3939,51.00,50.38,21
5,15,-70.3291,-32.3950,56.02,58.83,21
6,5,-71.3941,-32.4695,33.99,30.33,21
6,6,-71.2877,-32.4715,33.99,30.33,21
6,7,-71.1814,-32.4733,33.99,30.33,21
6,8,-71.0750,-32.4751,46.43,42.63,21
