estacion,lat,lon,agua24h_mm,agua6h_mm,momento_utc,codigo
Llanos de Caleu - La Dormida,-33.04944,-71.00139,120.1,2.0,2026-07-18 00:45:00,330193
Quillota  Liceo AgrÃ­cola,-32.90722,-71.27139,84.9,4.7,2026-07-18 01:00:00,320124
Panquehue,-32.76917,-70.835,71.8,5.8,2026-07-18 01:00:00,320122
Rodelillo  Ad.,-33.06528,-71.55639,67.1,0.0,2026-07-18 01:00:00,330007
Llay Llay  Las PeÃ±as,-32.88139,-70.91305,65.0,3.5,2026-07-18 00:45:00,320045
ViÃ±a del Mar  Ad. (Torquemada),-32.94944,-71.47611,64.7,0.2,2026-07-18 01:00:00,320041
JardÃ­n BotÃ¡nico (ex Parque Fauna)  ViÃ±a del Mar,-33.045,-71.50194,64.2,0.0,2026-07-18 00:45:00,330006
Portezuelo-Codelco,-34.19833,-70.57917,63.0,1.5,2026-07-18 00:45:00,340093
QuimÃ¡vida,-34.215,-70.99694,59.1,1.2,2026-07-18 00:45:00,340048
El TÃ¡rtaro (Putaendo),-32.57083,-70.70417,58.5,2.1,2026-07-18 01:00:00,320121
Talagante,-33.67028,-70.84944,57.9,0.3,2026-07-18 00:30:00,330071
Quinta Normal  Santiago,-33.445,-70.68278,55.0,0.6,2026-07-18 00:55:00,330020
Aguas Andinas  La Florida,-33.545,-70.54833,55.0,0.1,2026-07-18 00:45:00,330122
San Pablo - DASA,-33.44222,-70.74667,51.1,0.3,2026-07-18 00:45:00,330114
Pudahuel Santiago ,-33.37833,-70.78778,50.5,0.7,2026-07-18 00:45:00,330021
Colina (Reg.),-33.16222,-70.64306,45.4,0.1,2026-07-18 00:30:00,330162
Chincolco Liceo agrÃ­cola,-32.2225,-70.83167,44.8,1.7,2026-07-18 00:45:00,320049
San Felipe Escuela AgrÃ­cola,-32.75528,-70.70694,40.8,1.7,2026-07-18 00:45:00,320019
San Esteban  Liceo,-32.80111,-70.57805,31.9,2.7,2026-07-18 01:00:00,320123
Santo Domingo  Ad.,-33.65611,-71.61333,31.8,0.0,2026-07-18 00:44:00,330030
San Antonio  Lo Zarate,-33.53055,-71.50611,31.8,0.0,2026-07-18 00:30:00,330161
Quintero  ClimatolÃ³gica,-32.78417,-71.52278,31.4,0.5,2026-07-18 01:00:00,320056
San JosÃ©  GuayacÃ¡n,-33.61528,-70.35055,13.6,0.7,2026-07-18 00:45:00,330112
Eulogio SÃ¡nchez  Tobalaba Ad.,-33.45528,-70.54861,9.4,,2026-07-18 00:54:00,330019
CuracavÃ­ Ad.,-33.41111,-71.16778,4.7,0.2,2026-07-18 00:45:00,330121
Rancagua,-34.17222,-70.77611,3.3,0.2,2026-07-18 00:45:00,340045
Zapallar Catapilco,-32.56139,-71.29778,1.2,0.1,2026-07-18 00:45:00,320063
Catemu,-32.75889,-70.94278,0.9,0.1,2026-07-18 00:45:00,320055
Lo Pinto,-33.26805,-70.73222,0.2,0.0,2026-07-18 00:30:00,330118
Los Libertadores,-32.84555,-70.11917,0.0,0.0,2026-07-18 01:00:00,320051
El Colorado,-33.35,-70.29361,0.0,0.0,2026-07-18 00:45:00,330077
Lo Prado Cerro San Francisco,-33.45806,-70.94861,0.0,0.0,2026-07-18 00:45:00,330111
El Paico,-33.70639,-71.00805,0.0,0.0,2026-07-18 00:45:00,330113
