estacion,lon,lat,obs_24h_mm,clim_1_17jul_mm,obs_pct_de_quincena_normal,obs_en_sigma_clim,modelo_recent_1_17_mm,modelo_anom_pct,modelo_z
Llanos de Caleu - La Dormida,-71.00139,-33.04944,120.1,52.9,227.0,1.65,158.8,200.2,2.6
Quillota  Liceo AgrÃ­cola,-71.27139,-32.90722,84.9,39.7,214.0,1.51,171.7,332.8,4.4
Panquehue,-70.835,-32.76917,71.8,49.5,145.0,0.53,168.2,239.9,2.81
Rodelillo  Ad.,-71.55639,-33.06528,67.1,43.2,155.0,0.79,226.7,424.6,6.05
Llay Llay  Las PeÃ±as,-70.91305,-32.88139,65.0,49.7,131.0,0.37,171.2,244.5,2.96
ViÃ±a del Mar  Ad. (Torquemada),-71.47611,-32.94944,64.7,40.6,159.0,0.85,157.0,286.5,4.08
JardÃ­n BotÃ¡nico (ex Parque Fauna)  ViÃ±a del Mar,-71.50194,-33.045,64.2,40.6,158.0,0.83,157.0,286.5,4.08
Portezuelo-Codelco,-70.57917,-34.19833,63.0,47.6,132.0,0.46,141.5,197.2,2.79
QuimÃ¡vida,-70.99694,-34.215,59.1,47.6,124.0,0.34,141.5,197.2,2.79
El TÃ¡rtaro (Putaendo),-70.70417,-32.57083,58.5,50.5,116.0,0.18,134.6,166.3,1.88
Talagante,-70.84944,-33.67028,57.9,54.9,106.0,0.07,167.8,205.8,2.56
Quinta Normal  Santiago,-70.68278,-33.445,55.0,54.9,100.0,0.0,167.8,205.8,2.56
Aguas Andinas  La Florida,-70.54833,-33.545,55.0,53.9,102.0,0.02,123.9,129.9,1.41
San Pablo - DASA,-70.74667,-33.44222,51.1,54.9,93.0,-0.09,167.8,205.8,2.56
Pudahuel Santiago ,-70.78778,-33.37833,50.5,54.9,92.0,-0.1,167.8,205.8,2.56
Colina (Reg.),-70.64306,-33.16222,45.4,46.7,97.0,-0.03,125.9,169.6,2.05
Chincolco Liceo agrÃ­cola,-70.83167,-32.2225,44.8,44.1,102.0,0.02,184.7,319.0,3.35
San Felipe Escuela AgrÃ­cola,-70.70694,-32.75528,40.8,47.0,87.0,-0.15,135.5,188.2,2.2
San Esteban  Liceo,-70.57805,-32.80111,31.9,46.8,68.0,-0.34,129.6,177.2,1.89
Santo Domingo  Ad.,-71.61333,-33.65611,31.8,48.2,66.0,-0.51,153.4,218.6,3.29
San Antonio  Lo Zarate,-71.50611,-33.53055,31.8,45.9,69.0,-0.43,156.6,240.9,3.4
Quintero  ClimatolÃ³gica,-71.52278,-32.78417,31.4,40.4,78.0,-0.3,151.0,273.3,3.65
San JosÃ©  GuayacÃ¡n,-70.35055,-33.61528,13.6,75.5,18.0,-0.91,230.8,205.8,2.28
Eulogio SÃ¡nchez  Tobalaba Ad.,-70.54861,-33.45528,9.4,53.9,17.0,-0.89,123.9,129.9,1.41
CuracavÃ­ Ad.,-71.16778,-33.41111,4.7,44.0,11.0,-1.23,183.5,317.1,4.36
Rancagua,-70.77611,-34.17222,3.3,47.6,7.0,-1.32,141.5,197.2,2.79
Zapallar Catapilco,-71.29778,-32.56139,1.2,35.4,3.0,-1.16,172.0,386.3,4.65
Catemu,-70.94278,-32.75889,0.9,50.0,2.0,-1.16,211.6,323.3,3.82
Lo Pinto,-70.73222,-33.26805,0.2,48.3,0.0,-1.23,160.7,232.6,2.88
Los Libertadores,-70.11917,-32.84555,0.0,78.8,0.0,-1.04,206.8,162.3,1.69
El Colorado,-70.29361,-33.35,0.0,75.5,0.0,-1.11,230.8,205.8,2.28
Lo Prado Cerro San Francisco,-70.94861,-33.45806,0.0,54.9,0.0,-1.25,167.8,205.8,2.56
El Paico,-71.00805,-33.70639,0.0,47.6,0.0,-1.42,141.5,197.2,2.79
