nom_humed,comuna,concavidad,depresion_m,acc_topo
Estero Los Molles,La Ligua,-0.0018,0.0,0.0
Quebrada Las Petras,Algarrobo,-0.0004,0.0,0.0
El Canelillo,Algarrobo,-0.0001,0.0,0.0
El Canelillo,Algarrobo,-0.0019,0.0,0.0
Laguna Pullally,Papudo,-0.0041,9.17,1.0
Sin identificar,La Ligua,-0.0035,1.77,0.262
Sin identificar,Zapallar,0.0006,2.26,0.336
Sin identificar,Zapallar,0.0008,0.0,0.059
Embalse El Peral,Valparaíso,-0.0011,0.78,0.115
Embalse,San Antonio,-0.0006,0.0,0.0
Embalse La Luz,Valparaíso,-0.0051,13.13,1.0
Laguna  El Plateado,Valparaíso,-0.0034,0.0,0.0
Laguna Caracol,Valparaíso,-0.0102,10.27,1.0
Embalse Chico,Viña del Mar,-0.0046,1.74,0.258
Embalse La Invernada,Valparaíso,0.0004,0.0,0.032
Embalse Las Cenizas,Valparaíso,-0.0,0.0,0.002
Laguna artificial Condominio San Alfonso,Algarrobo,0.0015,0.0,0.11
Embalse 1 Los Andes,San Esteban,-0.0006,0.0,0.0
Embalse 1 Santa María,Santa María,-0.0001,0.2,0.03
Embalse 10 San Esteban.,Santa María,-0.0013,0.0,0.0
Embalse 11 San Esteban.,Santa María,-0.0019,0.0,0.0
Embalse 12 San Esteban.,Santa María,0.0005,0.0,0.041
Embalse 13 San Esteban.,San Esteban,-0.0002,0.0,0.0
Embalse 8 San Esteban.,San Esteban,-0.0011,0.26,0.039
Embalse 14 San Esteban.,San Esteban,0.0008,0.0,0.064
Embalse 9 San Esteban.,San Esteban,0.0019,0.0,0.14
Embalse 2 Santa María,Santa María,-0.0017,0.66,0.097
Embalse Putaendo,Putaendo,-0.0009,0.0,0.0
Embalse Sector Nogales,Nogales,-0.0012,0.0,0.0
Embalse Putaendo 2,Putaendo,-0.0001,0.0,0.0
Embalse sector Limache,Limache,0.0003,0.0,0.027
Embalse Llay Llay 1,Llaillay,-0.0006,0.01,0.001
Embalse 2 Los Andes,San Esteban,-0.0026,0.0,0.0
Embalse 9 Los Andes,Los Andes,0.0016,0.0,0.12
Embalse 4 Los Andes,San Esteban,-0.0034,0.0,0.0
Embalse 8 Los Andes,Los Andes,0.0023,0.0,0.171
Embalse 6 Los Andes,Los Andes,0.0014,0.0,0.105
Embalse 7 Los Andes,Los Andes,0.0006,0.0,0.051
Laguna Quebrada Cruz de Piedra,Papudo,-0.003,6.86,1.0
Humedal Sector Quebrada El Tigre,Zapallar,-0.0015,0.0,0.0
Embalse,Rinconada,0.0002,0.0,0.022
Embalse,Calle Larga,-0.0006,0.0,0.0
Embalse,Rinconada,-0.0004,0.45,0.067
Quebrada Lance Bravo Norte,Algarrobo,0.0013,0.0,0.099
Embalse Sector Hijuelas,La Cruz,-0.0001,0.0,0.002
Embalse Los Culenes,Papudo,0.0006,0.0,0.048
Embalse,La Ligua,-0.0002,0.0,0.0
Embalse,La Ligua,-0.0007,0.0,0.0
Embalse,La Ligua,-0.0018,2.03,0.302
Embalse,Papudo,-0.0011,0.0,0.0
Embalse,Calle Larga,0.0012,0.0,0.091
Embalse Estero Las Salinas 1,Papudo,-0.0007,0.7,0.104
Embalse Estero Las Salinas 2,Papudo,-0.0001,0.0,0.0
Embalse Estero Las Salinas 3,Papudo,-0.0021,0.35,0.052
Humedal sin identificar,Puchuncaví,-0.0031,2.96,0.439
