nom_humed,comuna,dist_drenaje_m,prox_drenaje
Estero Los Molles,La Ligua,60.0,1.0
Quebrada Las Petras,Algarrobo,170.0,0.883
El Canelillo,Algarrobo,552.0,0.477
El Canelillo,Algarrobo,446.0,0.589
Laguna Pullally,Papudo,503.0,0.529
Sin identificar,La Ligua,127.0,0.928
Sin identificar,Zapallar,108.0,0.949
Sin identificar,Zapallar,42.0,1.0
Embalse El Peral,Valparaíso,242.0,0.807
Embalse,San Antonio,0.0,1.0
Embalse La Luz,Valparaíso,127.0,0.928
Laguna  El Plateado,Valparaíso,67.0,0.992
Laguna Caracol,Valparaíso,607.0,0.418
Embalse Chico,Viña del Mar,283.0,0.763
Embalse La Invernada,Valparaíso,480.0,0.553
Embalse Las Cenizas,Valparaíso,30.0,1.0
Laguna artificial Condominio San Alfonso,Algarrobo,488.0,0.544
Embalse 1 Los Andes,San Esteban,150.0,0.904
Embalse 1 Santa María,Santa María,90.0,0.968
Embalse 10 San Esteban.,Santa María,300.0,0.745
Embalse 11 San Esteban.,Santa María,153.0,0.901
Embalse 12 San Esteban.,Santa María,30.0,1.0
Embalse 13 San Esteban.,San Esteban,95.0,0.963
Embalse 8 San Esteban.,San Esteban,541.0,0.488
Embalse 14 San Esteban.,San Esteban,402.0,0.636
Embalse 9 San Esteban.,San Esteban,201.0,0.85
Embalse 2 Santa María,Santa María,319.0,0.725
Embalse Putaendo,Putaendo,162.0,0.892
Embalse Sector Nogales,Nogales,408.0,0.63
Embalse Putaendo 2,Putaendo,124.0,0.932
Embalse sector Limache,Limache,297.0,0.748
Embalse Llay Llay 1,Llaillay,150.0,0.904
Embalse 2 Los Andes,San Esteban,552.0,0.477
Embalse 9 Los Andes,Los Andes,258.0,0.789
Embalse 4 Los Andes,San Esteban,268.0,0.778
Embalse 8 Los Andes,Los Andes,285.0,0.761
Embalse 6 Los Andes,Los Andes,30.0,1.0
Embalse 7 Los Andes,Los Andes,150.0,0.904
Laguna Quebrada Cruz de Piedra,Papudo,85.0,0.974
Humedal Sector Quebrada El Tigre,Zapallar,30.0,1.0
Embalse,Rinconada,212.0,0.838
Embalse,Calle Larga,175.0,0.878
Embalse,Rinconada,190.0,0.862
Quebrada Lance Bravo Norte,Algarrobo,42.0,1.0
Embalse Sector Hijuelas,La Cruz,95.0,0.963
Embalse Los Culenes,Papudo,67.0,0.992
Embalse,La Ligua,30.0,1.0
Embalse,La Ligua,0.0,1.0
Embalse,La Ligua,30.0,1.0
Embalse,Papudo,30.0,1.0
Embalse,Calle Larga,391.0,0.648
Embalse Estero Las Salinas 1,Papudo,30.0,1.0
Embalse Estero Las Salinas 2,Papudo,342.0,0.7
Embalse Estero Las Salinas 3,Papudo,95.0,0.963
Humedal sin identificar,Puchuncaví,212.0,0.838
Humedal Laguna El Criquet,Valparaíso,1006.0,0.0
Sector Quintay N°2,Casablanca,600.0,0.426
Embalse,Calle Larga,150.0,0.904
Sector Punta de Tralca N°2,El Quisco,716.0,0.303
Laguna Sector  Marbella,Puchuncaví,90.0,0.968
Humedal Av. Punta Puyai,Papudo,108.0,0.949
Embalse 8 Rinconada.,Rinconada,90.0,0.968
Embalse,Calle Larga,421.0,0.616
Embalse,Calle Larga,90.0,0.968
Embalse,Calle Larga,85.0,0.974
Embalse,Calle Larga,283.0,0.763
Embalse,Calle Larga,658.0,0.364
Embalse,Rinconada,404.0,0.634
Embalse,Calle Larga,247.0,0.801
Embalse,Llaillay,342.0,0.7
Embalse,Llaillay,212.0,0.838
