nom_humed,comuna,dist_rio_m,dist_rio_mayor_m,prox_rio,prox_rio_mayor
Estero Los Molles,La Ligua,42.0,42.0,1.0,1.0
Quebrada Las Petras,Algarrobo,172.0,2003.0,0.922,0.339
El Canelillo,Algarrobo,579.0,2423.0,0.64,0.196
El Canelillo,Algarrobo,486.0,2340.0,0.704,0.224
Laguna Pullally,Papudo,382.0,382.0,0.776,0.89
Sin identificar,La Ligua,18.0,467.0,1.0,0.861
Sin identificar,Zapallar,281.0,281.0,0.846,0.925
Sin identificar,Zapallar,217.0,289.0,0.891,0.922
Embalse El Peral,Valparaíso,495.0,1400.0,0.698,0.544
Embalse,San Antonio,13.0,13.0,1.0,1.0
Embalse La Luz,Valparaíso,38.0,38.0,1.0,1.0
Laguna  El Plateado,Valparaíso,77.0,2966.0,0.988,0.012
Laguna Caracol,Valparaíso,268.0,2576.0,0.856,0.144
Embalse Chico,Viña del Mar,43.0,938.0,1.0,0.701
Embalse La Invernada,Valparaíso,450.0,1750.0,0.729,0.425
Embalse Las Cenizas,Valparaíso,48.0,48.0,1.0,1.0
Laguna artificial Condominio San Alfonso,Algarrobo,474.0,474.0,0.712,0.859
Embalse 1 Los Andes,San Esteban,524.0,524.0,0.678,0.842
Embalse 1 Santa María,Santa María,81.0,81.0,0.985,0.993
Embalse 10 San Esteban.,Santa María,1158.0,1158.0,0.238,0.627
Embalse 11 San Esteban.,Santa María,737.0,947.0,0.53,0.698
Embalse 12 San Esteban.,Santa María,606.0,815.0,0.621,0.743
Embalse 13 San Esteban.,San Esteban,1207.0,1872.0,0.204,0.384
Embalse 8 San Esteban.,San Esteban,1904.0,1904.0,0.0,0.373
Embalse 14 San Esteban.,San Esteban,767.0,1308.0,0.509,0.575
Embalse 9 San Esteban.,San Esteban,1770.0,2274.0,0.0,0.247
Embalse 2 Santa María,Santa María,457.0,457.0,0.725,0.865
Embalse Putaendo,Putaendo,185.0,185.0,0.913,0.957
Embalse Sector Nogales,Nogales,46.0,46.0,1.0,1.0
Embalse Putaendo 2,Putaendo,827.0,827.0,0.468,0.739
Embalse sector Limache,Limache,297.0,297.0,0.835,0.919
Embalse Llay Llay 1,Llaillay,79.0,79.0,0.987,0.993
Embalse 2 Los Andes,San Esteban,516.0,516.0,0.684,0.845
Embalse 9 Los Andes,Los Andes,1401.0,2377.0,0.069,0.212
Embalse 4 Los Andes,San Esteban,171.0,171.0,0.923,0.962
Embalse 8 Los Andes,Los Andes,1644.0,1900.0,0.0,0.374
Embalse 6 Los Andes,Los Andes,1644.0,1644.0,0.0,0.461
Embalse 7 Los Andes,Los Andes,1819.0,1867.0,0.0,0.386
Laguna Quebrada Cruz de Piedra,Papudo,58.0,58.0,1.0,1.0
Humedal Sector Quebrada El Tigre,Zapallar,9.0,9.0,1.0,1.0
Embalse,Rinconada,715.0,715.0,0.545,0.777
Embalse,Calle Larga,9.0,9.0,1.0,1.0
Embalse,Rinconada,40.0,40.0,1.0,1.0
Quebrada Lance Bravo Norte,Algarrobo,49.0,415.0,1.0,0.879
Embalse Sector Hijuelas,La Cruz,1569.0,2222.0,0.0,0.265
Embalse Los Culenes,Papudo,37.0,37.0,1.0,1.0
Embalse,La Ligua,91.0,446.0,0.978,0.869
Embalse,La Ligua,120.0,506.0,0.959,0.848
Embalse,La Ligua,104.0,104.0,0.969,0.985
Embalse,Papudo,16.0,16.0,1.0,1.0
Embalse,Calle Larga,45.0,636.0,1.0,0.804
Embalse Estero Las Salinas 1,Papudo,13.0,344.0,1.0,0.904
Embalse Estero Las Salinas 2,Papudo,357.0,565.0,0.794,0.828
Embalse Estero Las Salinas 3,Papudo,91.0,91.0,0.978,0.989
Humedal sin identificar,Puchuncaví,219.0,219.0,0.889,0.946
Humedal Laguna El Criquet,Valparaíso,754.0,2561.0,0.518,0.149
Sector Quintay N°2,Casablanca,604.0,1075.0,0.623,0.655
Embalse,Calle Larga,111.0,111.0,0.964,0.982
Sector Punta de Tralca N°2,El Quisco,717.0,717.0,0.543,0.776
Laguna Sector  Marbella,Puchuncaví,541.0,541.0,0.666,0.836
Humedal Av. Punta Puyai,Papudo,147.0,147.0,0.94,0.971
Embalse 8 Rinconada.,Rinconada,1010.0,1010.0,0.34,0.677
Embalse,Calle Larga,390.0,390.0,0.771,0.888
Embalse,Calle Larga,95.0,95.0,0.976,0.988
Embalse,Calle Larga,285.0,285.0,0.843,0.923
Embalse,Calle Larga,291.0,291.0,0.84,0.921
Embalse,Calle Larga,660.0,660.0,0.583,0.796
Embalse,Rinconada,407.0,407.0,0.759,0.882
Embalse,Calle Larga,1068.0,1068.0,0.3,0.657
Embalse,Llaillay,553.0,553.0,0.657,0.832
Embalse,Llaillay,805.0,805.0,0.483,0.747
Embalse,Calle Larga,632.0,655.0,0.602,0.798
Humedal sector estadio L. Jelves,Papudo,375.0,513.0,0.781,0.846
Embalse,Rinconada,540.0,540.0,0.666,0.837
Embalse,Calle Larga,411.0,411.0,0.756,0.881
Humedal Jardín Botánico,Viña del Mar,0.0,0.0,1.0,1.0
Embalse,Calle Larga,281.0,281.0,0.847,0.925
Embalse,San Antonio,69.0,1419.0,0.994,0.538
Embalse,San Antonio,41.0,891.0,1.0,0.717
Quebrada Las Petras,Algarrobo,10.0,1867.0,1.0,0.385
Quebrada Las Petras,El Quisco,8.0,1836.0,1.0,0.396
Quebrada El Batro,El Quisco,1.0,1.0,1.0,1.0
Quebrada Pino Mar,El Quisco,37.0,692.0,1.0,0.785
Estero El Totoral,El Quisco,12.0,12.0,1.0,1.0
Embalse,San Antonio,328.0,1567.0,0.814,0.487
Embalse sector Quebrada Los Coiles,San Antonio,10.0,608.0,1.0,0.813
Embalse sector Quebrada Los Coiles,San Antonio,279.0,1355.0,0.848,0.56
Humedal sector Las Palmas,Cartagena,45.0,45.0,1.0,1.0
Estero de la Viña,Cartagena,73.0,73.0,0.991,0.996
Embalse San Juan,San Antonio,296.0,296.0,0.836,0.92
Embalse,Algarrobo,15.0,918.0,1.0,0.708
Embalse,Algarrobo,58.0,1031.0,1.0,0.67
Embalse Casablanca 1,Casablanca,317.0,317.0,0.822,0.913
Embalses Quintay 2,Casablanca,372.0,372.0,0.784,0.894
Embalses Quintay 1,Casablanca,297.0,1111.0,0.835,0.643
Embalse sector Las Tablas,Valparaíso,42.0,642.0,1.0,0.802
Embalse 1 Calle Larga,Calle Larga,730.0,730.0,0.535,0.772
Embalse La Invernada,Valparaíso,430.0,1847.0,0.743,0.392
Embalse 3 San Esteban.,San Esteban,2161.0,2297.0,0.0,0.239
Embalse 4 San Esteban.,San Esteban,1977.0,2464.0,0.0,0.182
Embalse 6 San Esteban.,San Esteban,1098.0,1639.0,0.279,0.463
Embalse 19 Rinconada,Rinconada,421.0,421.0,0.749,0.877
Piscina 3,Puchuncaví,1250.0,1250.0,0.174,0.595
Piscina 2,Quintero,903.0,903.0,0.414,0.713
Piscina 1,Quintero,903.0,903.0,0.414,0.713
Quebrada Las Tinajas,Algarrobo,10.0,1250.0,1.0,0.595
Laguna Sausalito,Viña del Mar,47.0,47.0,1.0,1.0
Laguna El Peral,El Tabo,187.0,1317.0,0.912,0.572
Embalse Quebrada El Tranque,San Antonio,142.0,142.0,0.943,0.972
Lago Peñuelas,Valparaíso,333.0,333.0,0.81,0.907
Humedal sector Fundo Los Arrayanes,Olmué,437.0,712.0,0.738,0.778
Esteros Catapilco - La Canela,Puchuncaví,7.0,7.0,1.0,1.0
