nom_humed,region,comuna,tipo,poly_area,shape_area,cod_humed,FID,cut_reg,recent_v2_mm,anomaly_v2_pct,z_v2,pctl_empirico,factor_correccion,clim_om_mean_mm,twi,expo_topo,expo_met,expo_comp_w30,expo_comp_w50,expo_comp_w70,en_p90,alta_robusta
Estero Los Molles,Valparaíso,La Ligua,Humedal asociado a límite urbano,0.136564679868,1366.42053925,HUR-05-107,55190,5,92.4,237.3,2.61,90.9,0.497,27.39,8.33,0.451,0.818,0.561,0.634,0.708,True,False
Quebrada Las Petras,Valparaíso,Algarrobo,Humedal asociado a límite urbano,0.150270393776,1503.83292873,HUR-05-50,55193,5,71.6,57.5,0.78,77.3,0.461,45.47,7.69,0.376,0.546,0.427,0.461,0.495,False,False
El Canelillo,Valparaíso,Algarrobo,Humedal asociado a límite urbano,0.0783628884891,784.217125879,HUR-05-97,55194,5,71.6,57.5,0.78,77.3,0.461,45.47,6.74,0.266,0.546,0.35,0.406,0.462,False,False
El Canelillo,Valparaíso,Algarrobo,Humedal asociado a límite urbano,0.0350256990442,350.519596725,HUR-05-97,55195,5,71.6,57.5,0.78,77.3,0.461,45.47,6.38,0.224,0.546,0.321,0.385,0.449,False,False
Laguna Pullally,Valparaíso,Papudo,Humedal asociado a límite urbano,5.19698523973,51989.1735966,HUR-05-115,55968,5,113.1,229.4,2.61,95.5,0.508,34.34,11.13,0.777,0.91,0.817,0.844,0.87,True,True
Sin identificar,Valparaíso,La Ligua,Humedal no asociado a límite urbano,71.6425656815,716654.344474,HUR-05-123,55969,5,113.1,229.4,2.61,95.5,0.508,34.34,7.86,0.397,0.91,0.551,0.654,0.756,True,False
Sin identificar,Valparaíso,Zapallar,Humedal no asociado a límite urbano,60.8188900143,608393.979304,HUR-05-124,55970,5,111.5,224.7,2.56,95.5,0.515,34.34,8.57,0.479,0.91,0.608,0.694,0.781,True,True
Sin identificar,Valparaíso,Zapallar,Humedal no asociado a límite urbano,4.60370387295,46054.2199576,HUR-05-125,55971,5,111.5,224.7,2.56,95.5,0.515,34.34,7.64,0.371,0.91,0.533,0.641,0.748,True,False
Embalse El Peral,Valparaíso,Valparaíso,Humedal asociado a límite urbano,3.28984776077,32917.9341413,HUR-05-41,55972,5,159.4,288.1,3.94,95.5,0.589,41.07,9.09,0.54,0.91,0.651,0.725,0.799,True,True
Embalse,Valparaíso,San Antonio,Humedal no asociado a límite urbano,59.2771220637,593077.456145,HUR-05-56,55973,5,58.3,27.0,0.4,72.7,0.368,45.89,18.62,1.0,0.454,0.836,0.727,0.618,False,False
