nom_humed,comuna,cuenca,acuifero,sobre_acuifero
Estero Los Molles,La Ligua,,Cuencas Costeras V Norte,True
Quebrada Las Petras,Algarrobo,,Cuencas Costeras V Sur,True
El Canelillo,Algarrobo,,Cuencas Costeras V Sur,True
El Canelillo,Algarrobo,,Cuencas Costeras V Sur,True
Laguna Pullally,Papudo,Rio Ligua,Rio La Ligua,True
Sin identificar,La Ligua,Rio Ligua,Rio La Ligua,True
Sin identificar,Zapallar,Costeras Ligua-Aconcagua,Cuencas Costeras V Norte,True
Sin identificar,Zapallar,Costeras Ligua-Aconcagua,Cuencas Costeras V Norte,True
Embalse El Peral,Valparaíso,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Embalse,San Antonio,Rio Maipo,Rio Maipo,True
Embalse La Luz,Valparaíso,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Laguna  El Plateado,Valparaíso,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Laguna Caracol,Valparaíso,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Embalse Chico,Viña del Mar,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Embalse La Invernada,Valparaíso,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Embalse Las Cenizas,Valparaíso,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Laguna artificial Condominio San Alfonso,Algarrobo,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Embalse 1 Los Andes,San Esteban,Rio Aconcagua,Rio Aconcagua,True
Embalse 1 Santa María,Santa María,Rio Aconcagua,Rio Aconcagua,True
Embalse 10 San Esteban.,Santa María,Rio Aconcagua,Rio Aconcagua,True
Embalse 11 San Esteban.,Santa María,Rio Aconcagua,Rio Aconcagua,True
Embalse 12 San Esteban.,Santa María,Rio Aconcagua,Rio Aconcagua,True
Embalse 13 San Esteban.,San Esteban,Rio Aconcagua,Rio Aconcagua,True
Embalse 8 San Esteban.,San Esteban,Rio Aconcagua,Rio Aconcagua,True
Embalse 14 San Esteban.,San Esteban,Rio Aconcagua,Rio Aconcagua,True
Embalse 9 San Esteban.,San Esteban,Rio Aconcagua,Rio Aconcagua,True
Embalse 2 Santa María,Santa María,Rio Aconcagua,Rio Aconcagua,True
Embalse Putaendo,Putaendo,Rio Aconcagua,Rio Aconcagua,True
Embalse Sector Nogales,Nogales,Rio Aconcagua,Rio Aconcagua,True
Embalse Putaendo 2,Putaendo,Rio Aconcagua,Rio Aconcagua,True
Embalse sector Limache,Limache,Rio Aconcagua,Rio Aconcagua,True
Embalse Llay Llay 1,Llaillay,Rio Aconcagua,Rio Aconcagua,True
Embalse 2 Los Andes,San Esteban,Rio Aconcagua,Rio Aconcagua,True
Embalse 9 Los Andes,Los Andes,Rio Aconcagua,Rio Aconcagua,True
Embalse 4 Los Andes,San Esteban,Rio Aconcagua,Rio Aconcagua,True
