nom_humed,comuna,serie_suelo,textura,permeabilidad,drenaje,cap_campo_pct,arcilla_pct,inundacion,expo_suelo,fuente_suelo
Estero Los Molles,La Ligua,,,,,,,,,none
Quebrada Las Petras,Algarrobo,,,,,,,,,none
El Canelillo,Algarrobo,,,,,,,,,none
El Canelillo,Algarrobo,,,,,,,,,none
Laguna Pullally,Papudo,NO SUELOS,,,,,,,,none
Sin identificar,La Ligua,NO SUELOS,,,,,,,,none
Sin identificar,Zapallar,NO SUELOS,,,,,,,,none
Sin identificar,Zapallar,NO SUELOS,,,,,,,,none
Embalse El Peral,Valparaíso,NO SUELOS,,,,,,,,none
Embalse,San Antonio,LO VASQUEZ,MEDIA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.467,CIREN
Embalse La Luz,Valparaíso,NO SUELOS,,,,,,,,none
Laguna  El Plateado,Valparaíso,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Laguna Caracol,Valparaíso,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Embalse Chico,Viña del Mar,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Embalse La Invernada,Valparaíso,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Embalse Las Cenizas,Valparaíso,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Laguna artificial Condominio San Alfonso,Algarrobo,NO SUELOS,,,,,,,,none
Embalse 1 Los Andes,San Esteban,SANTA MARIA,MEDIA,MODERADA,BUENO,,,NO EXISTE,0.4,CIREN
Embalse 1 Santa María,Santa María,POCURO,MEDIA,MODERADA,BUENO,23.0,18.0,NO EXISTE,0.384,CIREN
Embalse 10 San Esteban.,Santa María,SANTA MARIA,MEDIA,MODERADA,BUENO,,,NO EXISTE,0.4,CIREN
Embalse 11 San Esteban.,Santa María,ASOCIACION LA PARVA,MUY FINA,LENTA,BUENO,,,NO EXISTE,0.525,CIREN
Embalse 12 San Esteban.,Santa María,ASOCIACION LA PARVA,MUY FINA,LENTA,BUENO,,,NO EXISTE,0.525,CIREN
Embalse 13 San Esteban.,San Esteban,SANTA MARIA,MEDIA,MODERADA,BUENO,,,NO EXISTE,0.4,CIREN
Embalse 8 San Esteban.,San Esteban,POCURO,MEDIA,MODERADA,BUENO,23.0,18.0,NO EXISTE,0.384,CIREN
Embalse 14 San Esteban.,San Esteban,SANTA MARIA,MEDIA,MODERADA,BUENO,,,NO EXISTE,0.4,CIREN
Embalse 9 San Esteban.,San Esteban,POCURO,MEDIA,MODERADA,BUENO,23.0,18.0,NO EXISTE,0.384,CIREN
Embalse 2 Santa María,Santa María,SANTA MARIA,MEDIA,MODERADA,BUENO,,,NO EXISTE,0.4,CIREN
Embalse Putaendo,Putaendo,MISCELANEOS,,,EXCESIVO,,,,0.0,CIREN
Embalse Sector Nogales,Nogales,CATEMU,MEDIA,MODERADA,BUENO,20.0,17.1,NO EXISTE,0.356,CIREN
Embalse Putaendo 2,Putaendo,POCURO,MEDIA,MODERADA,BUENO,23.0,18.0,NO EXISTE,0.384,CIREN
Embalse sector Limache,Limache,HUALCAPO,MEDIA,MODERADAMENTE RAPIDA,MODERADO,16.0,8.4,NO EXISTE,0.295,CIREN
Embalse Llay Llay 1,Llaillay,LLAY LLAY,FINA,MUY LENTA,IMPERFECTO,,48.4,NO EXISTE,0.925,CIREN
Embalse 2 Los Andes,San Esteban,ASOCIACION LA PARVA,MUY FINA,LENTA,BUENO,,,NO EXISTE,0.525,CIREN
Embalse 9 Los Andes,Los Andes,POCURO,MEDIA,MODERADA,BUENO,23.0,18.0,NO EXISTE,0.384,CIREN
Embalse 4 Los Andes,San Esteban,POCURO,MEDIA,MODERADA,BUENO,23.0,18.0,NO EXISTE,0.384,CIREN
Embalse 8 Los Andes,Los Andes,POCURO,MEDIA,MODERADA,BUENO,23.0,18.0,NO EXISTE,0.384,CIREN
Embalse 6 Los Andes,Los Andes,POCURO,MEDIA,MODERADA,BUENO,23.0,18.0,NO EXISTE,0.384,CIREN
Embalse 7 Los Andes,Los Andes,POCURO,MEDIA,MODERADA,BUENO,23.0,18.0,NO EXISTE,0.384,CIREN
Laguna Quebrada Cruz de Piedra,Papudo,NO SUELOS,,,,,,,,none
Humedal Sector Quebrada El Tigre,Zapallar,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Embalse,Rinconada,POCURO,MEDIA,MODERADA,MODERADO,23.0,18.0,NO EXISTE,0.434,CIREN
