nom_humed,comuna,pctl_empirico,expo_met,twi,acc_topo,expo_suelo,prox_drenaje,susc_acumulacion,prioridad_inundacion,clase_prioridad,suelo_fuente,cuenca
Estero Los Molles,La Ligua,90.6,0.812,0.451,0.0,0.236,1.0,0.422,0.342,Alta,FAO,
Quebrada Las Petras,Algarrobo,81.2,0.624,0.376,0.0,0.717,0.922,0.504,0.314,Moderada,FAO,
El Canelillo,Algarrobo,81.2,0.624,0.266,0.0,0.717,0.64,0.406,0.253,Baja,FAO,
El Canelillo,Algarrobo,81.2,0.624,0.224,0.0,0.717,0.704,0.411,0.257,Baja,FAO,
Laguna Pullally,Papudo,93.8,0.876,0.777,1.0,0.717,0.776,0.818,0.716,Muy Alta,FAO,Rio Ligua
Sin identificar,La Ligua,93.8,0.876,0.397,0.262,0.717,1.0,0.594,0.52,Muy Alta,FAO,Rio Ligua
Sin identificar,Zapallar,93.8,0.876,0.479,0.336,0.717,0.846,0.594,0.521,Muy Alta,FAO,Costeras Ligua-Aconcagua
Sin identificar,Zapallar,93.8,0.876,0.371,0.059,0.717,0.891,0.51,0.446,Muy Alta,FAO,Costeras Ligua-Aconcagua
Embalse El Peral,Valparaíso,93.8,0.876,0.54,0.115,0.717,0.698,0.518,0.453,Muy Alta,FAO,Costeras entre Aconcagua y Maipo
Embalse,San Antonio,78.1,0.562,1.0,0.0,0.467,1.0,0.617,0.347,Alta,CIREN,Rio Maipo
Embalse La Luz,Valparaíso,93.8,0.876,0.353,1.0,0.717,1.0,0.768,0.672,Muy Alta,FAO,Costeras entre Aconcagua y Maipo
Laguna  El Plateado,Valparaíso,93.8,0.876,0.203,0.0,0.55,0.988,0.435,0.381,Alta,CIREN,Costeras entre Aconcagua y Maipo
Laguna Caracol,Valparaíso,93.8,0.876,0.222,1.0,0.55,0.856,0.657,0.576,Muy Alta,CIREN,Costeras entre Aconcagua y Maipo
Embalse Chico,Viña del Mar,93.8,0.876,1.0,0.258,0.55,1.0,0.702,0.615,Muy Alta,CIREN,Costeras entre Aconcagua y Maipo
Embalse La Invernada,Valparaíso,93.8,0.876,0.5,0.032,0.55,0.729,0.453,0.397,Alta,CIREN,Costeras entre Aconcagua y Maipo
Embalse Las Cenizas,Valparaíso,93.8,0.876,1.0,0.002,0.55,1.0,0.638,0.559,Muy Alta,CIREN,Costeras entre Aconcagua y Maipo
Laguna artificial Condominio San Alfonso,Algarrobo,81.2,0.624,0.412,0.11,0.717,0.712,0.488,0.304,Moderada,FAO,Costeras entre Aconcagua y Maipo
Embalse 1 Los Andes,San Esteban,75.0,0.5,0.275,0.0,0.4,0.678,0.338,0.169,Muy Baja,CIREN,Rio Aconcagua
Embalse 1 Santa María,Santa María,81.2,0.624,0.535,0.03,0.384,0.985,0.484,0.302,Moderada,CIREN,Rio Aconcagua
Embalse 10 San Esteban.,Santa María,81.2,0.624,0.317,0.0,0.4,0.238,0.239,0.149,Muy Baja,CIREN,Rio Aconcagua
Embalse 11 San Esteban.,Santa María,81.2,0.624,0.228,0.0,0.525,0.53,0.321,0.2,Muy Baja,CIREN,Rio Aconcagua
