nom_humed,region,comuna,tipo,poly_area,shape_area,cod_humed,FID,cut_reg,anomaly_pct,z_score,recent_mm,clim_mean_mm
Estero Los Molles,Valparaíso,La Ligua,Humedal asociado a límite urbano,0.136564679868,1366.42053925,HUR-05-107,55190,05,522.9,5.83,180.9,29.04
Quebrada Las Petras,Valparaíso,Algarrobo,Humedal asociado a límite urbano,0.150270393776,1503.83292873,HUR-05-50,55193,05,201.0,2.87,147.6,49.04
El Canelillo,Valparaíso,Algarrobo,Humedal asociado a límite urbano,0.0783628884891,784.217125879,HUR-05-97,55194,05,201.0,2.87,147.6,49.04
El Canelillo,Valparaíso,Algarrobo,Humedal asociado a límite urbano,0.0350256990442,350.519596725,HUR-05-97,55195,05,201.0,2.87,147.6,49.04
Laguna Pullally,Valparaíso,Papudo,Humedal asociado a límite urbano,5.19698523973,51989.1735966,HUR-05-115,55968,05,524.3,6.21,209.5,33.56
Sin identificar,Valparaíso,La Ligua,Humedal no asociado a límite urbano,71.6425656815,716654.344474,HUR-05-123,55969,05,524.3,6.21,209.5,33.56
Sin identificar,Valparaíso,Zapallar,Humedal no asociado a límite urbano,60.8188900143,608393.979304,HUR-05-124,55970,05,480.1,5.79,205.4,35.41
Sin identificar,Valparaíso,Zapallar,Humedal no asociado a límite urbano,4.60370387295,46054.2199576,HUR-05-125,55971,05,480.1,5.79,205.4,35.41
Embalse El Peral,Valparaíso,Valparaíso,Humedal asociado a límite urbano,3.28984776077,32917.9341413,HUR-05-41,55972,05,496.7,7.15,260.1,43.59
Embalse,Valparaíso,San Antonio,Humedal no asociado a límite urbano,59.2771220637,593077.456145,HUR-05-56,55973,05,227.5,3.3,154.1,47.06
Embalse La Luz,Valparaíso,Valparaíso,Humedal asociado a límite urbano,72.3926122426,724385.12241,HUR-05-77,55974,05,360.1,5.18,220.7,47.97
Laguna  El Plateado,Valparaíso,Valparaíso,Humedal asociado a límite urbano,2.33193512306,23335.5873038,HUR-05-78,55975,05,360.1,5.18,220.7,47.97
Laguna Caracol,Valparaíso,Valparaíso,Humedal asociado a límite urbano,2.06364594021,20651.1588383,HUR-05-79,55976,05,360.1,5.18,220.7,47.97
Embalse Chico,Valparaíso,Viña del Mar,Humedal asociado a límite urbano,1.13956637709,11402.2251935,HUR-05-81,55977,05,496.7,7.15,260.1,43.59
Embalse La Invernada,Valparaíso,Valparaíso,Humedal asociado a límite urbano,1.70158508943,17025.1623892,HUR-05-82,55978,05,496.7,7.15,260.1,43.59
Embalse Las Cenizas,Valparaíso,Valparaíso,Humedal asociado a límite urbano,37.5388482605,375604.812417,HUR-05-85,55979,05,496.7,7.15,260.1,43.59
Laguna artificial Condominio San Alfonso,Valparaíso,Algarrobo,Humedal asociado a límite urbano,8.90445749037,89107.1095097,HUR-05-69,55987,05,201.0,2.87,147.6,49.04
Embalse 1 Los Andes,Valparaíso,San Esteban,Humedal asociado a límite urbano,1.48787645469,14874.9711491,HPU-05-01,55988,05,216.6,2.34,149.8,47.31
Embalse 1 Santa María,Valparaíso,Santa María,Humedal no asociado a límite urbano,0.498921384809,4988.12561707,HPU-05-03,55989,05,222.4,2.63,153.5,47.61
Embalse 10 San Esteban.,Valparaíso,Santa María,Humedal no asociado a límite urbano,0.611262987257,6111.15956351,HPU-05-04,55990,05,222.4,2.63,153.5,47.61
Embalse 11 San Esteban.,Valparaíso,Santa María,Humedal no asociado a límite urbano,0.108334606925,1083.08420705,HPU-05-05,55991,05,222.4,2.63,153.5,47.61
Embalse 12 San Esteban.,Valparaíso,Santa María,Humedal no asociado a límite urbano,0.100628281737,1006.03904184,HPU-05-06,55992,05,222.4,2.63,153.5,47.61
Embalse 13 San Esteban.,Valparaíso,San Esteban,Humedal no asociado a límite urbano,1.00247042088,10022.1824101,HPU-05-07,55993,05,216.6,2.34,149.8,47.31
Embalse 8 San Esteban.,Valparaíso,San Esteban,Humedal no asociado a límite urbano,0.211576672415,2115.23959855,HPU-05-08,55994,05,169.3,1.83,127.4,47.31
Embalse 14 San Esteban.,Valparaíso,San Esteban,Humedal asociado a límite urbano,0.248932743441,2488.70284696,HPU-05-09,55995,05,216.6,2.34,149.8,47.31
