nom_humed,comuna,tipo,z_score,anomaly_pct,elev_m,slope_deg,flow_acc,twi,twi_norm,expo_met,expo_topo,expo_comp
Estero Los Molles,La Ligua,Humedal asociado a límite urbano,5.83,522.9,6.7,1.8,40,12.7,0.666,0.972,0.666,0.819
Laguna Pullally,Papudo,Humedal asociado a límite urbano,6.21,524.3,21.3,1.05,1,10.22,0.389,1.0,0.389,0.694
Sin identificar,La Ligua,Humedal no asociado a límite urbano,6.21,524.3,80.1,3.13,1,9.12,0.267,1.0,0.267,0.634
Sin identificar,Zapallar,Humedal no asociado a límite urbano,5.79,480.1,73.1,0.35,4,12.22,0.613,0.965,0.613,0.789
Sin identificar,Zapallar,Humedal no asociado a límite urbano,5.79,480.1,95.4,0.22,1,11.79,0.565,0.965,0.565,0.765
Embalse El Peral,Valparaíso,Humedal asociado a límite urbano,7.15,496.7,366.7,0.38,18,13.48,0.754,1.0,0.754,0.877
Embalse,San Antonio,Humedal no asociado a límite urbano,3.3,227.5,167.7,1.11,1,10.16,0.382,0.55,0.382,0.466
Embalse La Luz,Valparaíso,Humedal asociado a límite urbano,5.18,360.1,350.3,0.23,1,11.75,0.561,0.863,0.561,0.712
Laguna  El Plateado,Valparaíso,Humedal asociado a límite urbano,5.18,360.1,371.7,4.92,16,10.81,0.455,0.863,0.455,0.659
Laguna Caracol,Valparaíso,Humedal asociado a límite urbano,5.18,360.1,302.7,2.25,2,9.86,0.349,0.863,0.349,0.606
Embalse Chico,Viña del Mar,Humedal asociado a límite urbano,7.15,496.7,356.2,1.54,12,11.71,0.555,1.0,0.555,0.778
Embalse La Invernada,Valparaíso,Humedal asociado a límite urbano,7.15,496.7,383.0,2.82,13,11.17,0.496,1.0,0.496,0.748
Embalse Las Cenizas,Valparaíso,Humedal asociado a límite urbano,7.15,496.7,363.5,0.23,99,15.66,0.997,1.0,0.997,0.998
Embalse Putaendo,Putaendo,Humedal no asociado a límite urbano,3.2,273.0,788.7,0.9,1,10.37,0.406,0.533,0.406,0.47
Embalse Sector Nogales,Nogales,Humedal no asociado a límite urbano,4.38,362.9,225.6,3.42,7,10.42,0.412,0.73,0.412,0.571
Embalse Putaendo 2,Putaendo,Humedal no asociado a límite urbano,3.2,273.0,775.8,0.68,509,16.19,1.0,0.533,1.0,0.767
Embalse sector Limache,Limache,Humedal no asociado a límite urbano,4.11,307.2,116.2,0.68,1,10.65,0.437,0.685,0.437,0.561
Embalse Llay Llay 1,Llaillay,Humedal no asociado a límite urbano,3.59,294.7,370.1,0.43,2,11.52,0.535,0.598,0.535,0.567
Laguna Quebrada Cruz de Piedra,Papudo,Humedal asociado a límite urbano,5.95,496.8,19.1,3.72,4,9.86,0.35,0.992,0.35,0.671
Humedal Sector Quebrada El Tigre,Zapallar,Humedal asociado a límite urbano,5.71,473.7,23.1,1.15,95,13.99,0.811,0.952,0.811,0.881
Embalse Sector Hijuelas,La Cruz,Humedal no asociado a límite urbano,3.9,313.4,149.5,2.45,37,12.31,0.623,0.65,0.623,0.637
Embalse Los Culenes,Papudo,Humedal no asociado a límite urbano,5.95,496.8,20.0,3.08,3,9.83,0.346,0.992,0.346,0.669
Embalse,La Ligua,Humedal no asociado a límite urbano,6.21,524.3,44.9,2.95,3,9.87,0.351,1.0,0.351,0.676
Embalse,La Ligua,Humedal no asociado a límite urbano,6.21,524.3,44.9,2.95,3,9.87,0.351,1.0,0.351,0.676
Embalse,La Ligua,Humedal no asociado a límite urbano,6.21,524.3,28.3,0.25,1,11.64,0.548,1.0,0.548,0.774
Embalse,Papudo,Humedal no asociado a límite urbano,5.95,496.8,50.4,2.17,43,12.58,0.653,0.992,0.653,0.822
Embalse Estero Las Salinas 1,Papudo,Humedal no asociado a límite urbano,5.95,496.8,68.0,1.38,2,10.35,0.404,0.992,0.404,0.698
Embalse Estero Las Salinas 2,Papudo,Humedal no asociado a límite urbano,5.95,496.8,72.5,0.55,1,10.86,0.461,0.992,0.461,0.726
Embalse Estero Las Salinas 3,Papudo,Humedal no asociado a límite urbano,5.95,496.8,55.4,1.41,2,10.32,0.401,0.992,0.401,0.696
Humedal sin identificar,Puchuncaví,Humedal asociado a límite urbano,5.19,415.5,20.6,1.6,4,10.71,0.444,0.865,0.444,0.655
Humedal Laguna El Criquet,Valparaíso,Humedal asociado a límite urbano,5.18,360.1,417.8,2.46,3,10.06,0.371,0.863,0.371,0.617
Sector Quintay N°2,Casablanca,Humedal asociado a límite urbano,4.9,345.6,63.7,1.97,1,9.58,0.318,0.817,0.318,0.567
Laguna Sector  Marbella,Puchuncaví,Humedal asociado a límite urbano,5.71,473.7,70.6,3.61,1,8.98,0.251,0.952,0.251,0.601
Humedal Av. Punta Puyai,Papudo,Humedal asociado a límite urbano,5.95,496.8,19.4,1.45,643,15.67,0.998,0.992,0.998,0.995
Embalse,Llaillay,Humedal no asociado a límite urbano,3.59,294.7,383.3,3.94,2,9.3,0.286,0.598,0.286,0.442
Embalse,Llaillay,Humedal no asociado a límite urbano,3.19,262.3,420.3,7.49,3,8.94,0.246,0.532,0.246,0.389
Humedal sector estadio L. Jelves,Papudo,Humedal asociado a límite urbano,5.95,496.8,19.4,1.79,4,10.6,0.432,0.992,0.432,0.712
Humedal Jardín Botánico,Viña del Mar,Humedal asociado a límite urbano,4.91,342.5,68.1,2.89,102,13.14,0.716,0.818,0.716,0.767
Embalse,San Antonio,Humedal no asociado a límite urbano,3.51,235.3,217.8,2.78,42,12.31,0.623,0.585,0.623,0.604
Embalse,San Antonio,Humedal no asociado a límite urbano,3.51,235.3,219.2,5.69,6,9.77,0.34,0.585,0.34,0.462
Embalse,San Antonio,Humedal no asociado a límite urbano,3.51,235.3,323.3,7.55,3,8.93,0.245,0.585,0.245,0.415
Embalse sector Quebrada Los Coiles,San Antonio,Humedal no asociado a límite urbano,3.47,250.1,242.2,1.12,155,14.5,0.868,0.578,0.868,0.723
Embalse sector Quebrada Los Coiles,San Antonio,Humedal no asociado a límite urbano,3.91,281.5,253.3,1.65,62,13.21,0.724,0.652,0.724,0.688
Humedal sector Las Palmas,Cartagena,Humedal no asociado a límite urbano,3.91,281.5,164.8,0.98,209,14.94,0.916,0.652,0.916,0.784
Estero de la Viña,Cartagena,Humedal no asociado a límite urbano,3.91,281.5,155.0,0.02,11,14.36,0.851,0.652,0.851,0.751
Embalse San Juan,San Antonio,Humedal asociado a límite urbano,3.3,227.5,116.0,0.85,2,10.83,0.457,0.55,0.457,0.503
Embalse,Algarrobo,Humedal no asociado a límite urbano,4.42,311.9,266.7,1.58,4,10.72,0.445,0.737,0.445,0.591
Embalse,Algarrobo,Humedal no asociado a límite urbano,4.42,311.9,297.2,1.75,15,11.78,0.564,0.737,0.564,0.65
Embalse Casablanca 1,Casablanca,Humedal asociado a límite urbano,6.28,430.2,252.2,0.51,10,12.64,0.66,1.0,0.66,0.83
