hora,IVT,IVTu,IVTv,direccion_grados
2026-07-11T00:00,44.9,31.3,32.2,224
2026-07-11T01:00,51.9,18.0,48.6,200
2026-07-11T02:00,39.4,2.7,39.3,184
2026-07-11T03:00,35.0,1.4,34.9,182
2026-07-11T04:00,38.4,6.1,37.9,189
2026-07-11T05:00,32.8,8.6,31.7,195
2026-07-11T06:00,29.7,10.8,27.6,201
2026-07-11T07:00,36.3,18.2,31.4,210
2026-07-11T08:00,60.8,27.4,54.3,207
2026-07-11T09:00,67.1,24.5,62.4,201
2026-07-11T10:00,71.1,19.0,68.6,195
2026-07-11T11:00,70.5,18.0,68.1,195
2026-07-11T12:00,67.0,20.3,63.9,198
2026-07-11T13:00,68.2,22.0,64.5,199
2026-07-11T14:00,69.5,36.5,59.2,212
2026-07-11T15:00,66.4,31.5,58.5,208
2026-07-11T16:00,66.2,33.9,56.9,211
2026-07-11T17:00,66.1,35.0,56.1,212
2026-07-11T18:00,75.4,44.5,60.9,216
2026-07-11T19:00,87.1,47.5,73.1,213
2026-07-11T20:00,75.7,37.5,65.8,210
2026-07-11T21:00,73.0,38.5,62.0,212
2026-07-11T22:00,69.4,36.3,59.1,212
2026-07-11T23:00,57.2,27.3,50.2,209
2026-07-12T00:00,50.6,24.7,44.2,209
2026-07-12T01:00,54.8,28.6,46.7,212
2026-07-12T02:00,61.3,32.3,52.1,212
2026-07-12T03:00,59.4,30.8,50.8,211
2026-07-12T04:00,58.4,30.8,49.6,212
2026-07-12T05:00,51.7,26.7,44.3,211
2026-07-12T06:00,48.1,25.3,40.9,212
2026-07-12T07:00,43.1,22.8,36.6,212
2026-07-12T08:00,42.8,21.6,37.0,210
2026-07-12T09:00,38.9,23.8,30.8,218
2026-07-12T10:00,40.4,28.3,28.8,224
2026-07-12T11:00,38.3,30.8,22.7,234
2026-07-12T12:00,33.5,29.4,16.0,241
2026-07-12T13:00,32.1,30.6,9.8,252
2026-07-12T14:00,37.7,36.6,8.9,256
2026-07-12T15:00,42.2,41.3,8.7,258
2026-07-12T16:00,44.2,43.0,10.3,257
2026-07-12T17:00,43.4,41.9,11.4,255
2026-07-12T18:00,40.5,39.5,9.0,257
2026-07-12T19:00,38.1,37.8,5.1,262
2026-07-12T20:00,38.3,38.2,3.2,265
2026-07-12T21:00,41.4,41.4,-0.6,271
2026-07-12T22:00,45.8,45.7,-1.8,272
2026-07-12T23:00,48.2,48.2,-0.4,270
2026-07-13T00:00,52.7,52.7,1.1,269
2026-07-13T01:00,56.0,55.9,1.9,268
2026-07-13T02:00,51.1,50.8,-5.4,276
2026-07-13T03:00,57.8,57.2,-8.4,278
2026-07-13T04:00,63.8,63.3,-7.4,277
2026-07-13T05:00,68.8,68.5,-6.4,275
2026-07-13T06:00,69.3,69.0,-7.0,276
2026-07-13T07:00,65.3,64.1,-12.5,281
2026-07-13T08:00,65.7,62.8,-19.3,287
2026-07-13T09:00,62.5,59.7,-18.5,287
2026-07-13T10:00,67.6,64.4,-20.7,288
2026-07-13T11:00,68.9,65.0,-22.9,289
2026-07-13T12:00,70.7,65.0,-27.8,293
2026-07-13T13:00,74.8,68.3,-30.6,294
2026-07-13T14:00,77.2,68.6,-35.5,297
2026-07-13T15:00,79.0,72.0,-32.5,294
2026-07-13T16:00,78.5,72.0,-31.2,293
2026-07-13T17:00,72.4,66.2,-29.2,294
2026-07-13T18:00,64.4,58.0,-28.0,296
2026-07-13T19:00,66.4,58.3,-31.9,299
2026-07-13T20:00,68.4,58.1,-36.0,302
2026-07-13T21:00,72.2,59.8,-40.4,304
2026-07-13T22:00,85.0,71.1,-46.6,303
2026-07-13T23:00,92.0,74.7,-53.7,306
2026-07-14T00:00,99.5,77.0,-63.0,309
2026-07-14T01:00,104.6,79.2,-68.2,311
2026-07-14T02:00,130.6,81.7,-102.0,321
2026-07-14T03:00,134.8,85.4,-104.3,321
2026-07-14T04:00,144.9,91.7,-112.2,321
2026-07-14T05:00,149.6,88.1,-120.9,324
2026-07-14T06:00,155.8,88.5,-128.2,325
2026-07-14T07:00,161.2,91.3,-132.9,326
2026-07-14T08:00,159.2,84.2,-135.1,328
2026-07-14T09:00,171.3,93.6,-143.4,327
2026-07-14T10:00,199.4,120.9,-158.6,323
