estacion,alt_m,dist_nucleo_km,agua24h_mm,sin_correccion,factor_regional,residuos_idw,altitud
Llanos de Caleu - La Dormida,1413.0,0.0,120.1,117.1,52.9,59.2,50.7
Quillota  Liceo Agrícola,93.0,29.7,84.9,110.7,50.0,62.1,46.4
Panquehue,515.0,34.8,71.8,128.8,58.2,57.2,65.3
Rodelillo  Ad.,337.0,51.8,67.1,117.7,53.2,72.1,56.4
Llay Llay  Las Peñas,420.0,20.4,65.0,143.9,80.2,82.9,72.0
Viña del Mar  Ad. (Torquemada),136.0,45.6,64.7,96.6,43.6,54.6,42.2
Jardín Botánico (ex Parque Fauna)  Viña del Mar,73.0,46.7,64.2,103.6,46.8,60.3,44.4
El Tártaro (Putaendo),925.0,60.0,58.5,86.9,39.3,37.9,48.2
Chincolco Liceo agrícola,663.0,93.3,44.8,119.1,66.4,63.4,65.7
San Felipe Escuela Agrícola,659.0,42.7,40.8,110.8,61.8,53.3,61.2
San Esteban  Liceo,836.0,48.2,31.9,97.1,54.1,44.5,59.2
Santo Domingo  Ad.,68.0,88.2,31.8,89.0,49.6,36.6,41.5
San Antonio  Lo Zarate,84.0,71.2,31.8,88.1,49.1,37.7,41.1
Quintero  Climatológica,8.0,56.9,31.4,93.8,52.3,58.9,43.6
