row,col,lon,lat,recent_mm,cover_days,last_day
1,11,-70.7473,-32.0291,283.5,18,2026-07-19T03:00
2,8,-71.0668,-32.1145,232.0,18,2026-07-19T03:00
2,9,-70.9609,-32.1162,234.1,18,2026-07-19T03:00
2,10,-70.8550,-32.1178,240.4,18,2026-07-19T03:00
2,11,-70.7490,-32.1193,272.9,18,2026-07-19T03:00
3,4,-71.4930,-32.1970,185.9,18,2026-07-19T03:00
3,5,-71.3869,-32.1991,186.5,18,2026-07-19T03:00
3,6,-71.2809,-32.2010,211.4,18,2026-07-19T03:00
3,7,-71.1749,-32.2029,226.9,18,2026-07-19T03:00
3,8,-71.0689,-32.2047,226.9,18,2026-07-19T03:00
3,9,-70.9628,-32.2064,232.6,18,2026-07-19T03:00
3,10,-70.8568,-32.2080,219.8,18,2026-07-19T03:00
3,11,-70.7507,-32.2095,224.6,18,2026-07-19T03:00
3,12,-70.6447,-32.2109,272.2,18,2026-07-19T03:00
3,13,-70.5386,-32.2122,272.2,18,2026-07-19T03:00
4,5,-71.3893,-32.2892,196.6,18,2026-07-19T03:00
4,6,-71.2832,-32.2912,191.4,18,2026-07-19T03:00
4,7,-71.1771,-32.2930,189.6,18,2026-07-19T03:00
4,8,-71.0709,-32.2948,205.8,18,2026-07-19T03:00
4,9,-70.9648,-32.2965,234.2,18,2026-07-19T03:00
4,10,-70.8586,-32.2981,192.4,18,2026-07-19T03:00
4,11,-70.7525,-32.2997,245.4,18,2026-07-19T03:00
4,12,-70.6463,-32.3011,224.3,18,2026-07-19T03:00
4,13,-70.5401,-32.3024,248.3,18,2026-07-19T03:00
4,14,-70.4339,-32.3037,276.2,18,2026-07-19T03:00
4,15,-70.3277,-32.3048,287.6,18,2026-07-19T03:00
5,6,-71.2855,-32.3813,230.1,18,2026-07-19T03:00
5,7,-71.1792,-32.3832,201.6,18,2026-07-19T03:00
5,8,-71.0730,-32.3850,205.8,18,2026-07-19T03:00
5,9,-70.9667,-32.3867,186.7,18,2026-07-19T03:00
5,10,-70.8605,-32.3883,186.7,18,2026-07-19T03:00
5,11,-70.7542,-32.3898,183.4,18,2026-07-19T03:00
5,12,-70.6479,-32.3913,208.0,18,2026-07-19T03:00
5,13,-70.5416,-32.3926,226.6,18,2026-07-19T03:00
5,14,-70.4354,-32.3939,210.1,18,2026-07-19T03:00
5,15,-70.3291,-32.3950,284.5,18,2026-07-19T03:00
6,5,-71.3941,-32.4695,192.6,18,2026-07-19T03:00
6,6,-71.2877,-32.4715,222.7,18,2026-07-19T03:00
6,7,-71.1814,-32.4733,201.2,18,2026-07-19T03:00
6,8,-71.0750,-32.4751,208.8,18,2026-07-19T03:00
6,9,-70.9687,-32.4769,195.5,18,2026-07-19T03:00
6,10,-70.8623,-32.4785,178.1,18,2026-07-19T03:00
6,11,-70.7559,-32.4800,173.1,18,2026-07-19T03:00
6,12,-70.6496,-32.4814,182.7,18,2026-07-19T03:00
6,13,-70.5432,-32.4828,210.1,18,2026-07-19T03:00
6,14,-70.4368,-32.4840,210.1,18,2026-07-19T03:00
6,15,-70.3304,-32.4852,263.8,18,2026-07-19T03:00
6,16,-70.2240,-32.4863,267.5,18,2026-07-19T03:00
7,5,-71.3965,-32.5596,191.5,18,2026-07-19T03:00
7,6,-71.2900,-32.5616,216.5,18,2026-07-19T03:00
7,7,-71.1836,-32.5635,197.4,18,2026-07-19T03:00
7,8,-71.0771,-32.5653,187.3,18,2026-07-19T03:00
7,9,-70.9707,-32.5670,168.8,18,2026-07-19T03:00
7,10,-70.8642,-32.5686,178.5,18,2026-07-19T03:00
7,11,-70.7577,-32.5702,178.5,18,2026-07-19T03:00
7,12,-70.6512,-32.5716,164.1,18,2026-07-19T03:00
7,13,-70.5447,-32.5730,215.9,18,2026-07-19T03:00
7,14,-70.4382,-32.5742,250.8,18,2026-07-19T03:00
7,15,-70.3317,-32.5754,263.8,18,2026-07-19T03:00
7,16,-70.2252,-32.5765,268.2,18,2026-07-19T03:00
8,5,-71.3989,-32.6497,191.5,18,2026-07-19T03:00
8,6,-71.2923,-32.6517,211.7,18,2026-07-19T03:00
8,7,-71.1858,-32.6536,211.7,18,2026-07-19T03:00
8,8,-71.0792,-32.6554,200.4,18,2026-07-19T03:00
8,9,-70.9726,-32.6572,205.8,18,2026-07-19T03:00
8,10,-70.8661,-32.6588,179.1,18,2026-07-19T03:00
8,11,-70.7595,-32.6603,196.0,18,2026-07-19T03:00
8,12,-70.6529,-32.6618,162.3,18,2026-07-19T03:00
8,13,-70.5463,-32.6631,145.7,18,2026-07-19T03:00
8,14,-70.4397,-32.6644,274.8,18,2026-07-19T03:00
8,15,-70.3330,-32.6656,274.8,18,2026-07-19T03:00
8,16,-70.2264,-32.6667,239.4,18,2026-07-19T03:00
9,5,-71.4013,-32.7399,205.7,18,2026-07-19T03:00
9,6,-71.2946,-32.7419,203.9,18,2026-07-19T03:00
9,7,-71.1880,-32.7438,206.6,18,2026-07-19T03:00
9,8,-71.0813,-32.7456,200.4,18,2026-07-19T03:00
9,9,-70.9746,-32.7473,238.5,18,2026-07-19T03:00
9,10,-70.8679,-32.7490,192.6,18,2026-07-19T03:00
9,11,-70.7612,-32.7505,196.0,18,2026-07-19T03:00
9,12,-70.6545,-32.7520,162.1,18,2026-07-19T03:00
9,13,-70.5478,-32.7533,134.5,18,2026-07-19T03:00
9,14,-70.4411,-32.7546,181.2,18,2026-07-19T03:00
9,15,-70.3344,-32.7558,239.4,18,2026-07-19T03:00
9,16,-70.2277,-32.7569,239.4,18,2026-07-19T03:00
10,4,-71.5104,-32.8279,174.0,18,2026-07-19T03:00
10,5,-71.4037,-32.8300,204.0,18,2026-07-19T03:00
10,6,-71.2969,-32.8320,191.0,18,2026-07-19T03:00
10,7,-71.1902,-32.8339,195.0,18,2026-07-19T03:00
10,8,-71.0834,-32.8357,205.9,18,2026-07-19T03:00
10,9,-70.9766,-32.8375,205.9,18,2026-07-19T03:00
10,10,-70.8698,-32.8391,188.3,18,2026-07-19T03:00
10,11,-70.7630,-32.8407,152.5,18,2026-07-19T03:00
10,12,-70.6562,-32.8421,162.1,18,2026-07-19T03:00
10,13,-70.5494,-32.8435,157.3,18,2026-07-19T03:00
