Humedal,Comuna,Cuenca,Percentil_empirico,Acumulado_corregido_mm,Anomalia_pct,Susceptibilidad_inundacion,Amenaza_inundacion,Clase_amenaza,Retencion_suelo,Fuente_suelo
Estero Los Molles,La Ligua,,90.6,92.4,258.0,0.422,0.342,Alta,0.236,FAO
Quebrada Las Petras,Algarrobo,,81.2,71.6,75.7,0.504,0.314,Moderada,0.717,FAO
El Canelillo,Algarrobo,,81.2,71.6,75.7,0.406,0.253,Baja,0.717,FAO
El Canelillo,Algarrobo,,81.2,71.6,75.7,0.411,0.257,Baja,0.717,FAO
Laguna Pullally,Papudo,Rio Ligua,93.8,113.1,263.9,0.818,0.716,Muy Alta,0.717,FAO
Sin identificar,La Ligua,Rio Ligua,93.8,113.1,263.9,0.594,0.52,Muy Alta,0.717,FAO
Sin identificar,Zapallar,Costeras Ligua-Aconcagua,93.8,111.5,258.7,0.594,0.521,Muy Alta,0.717,FAO
Sin identificar,Zapallar,Costeras Ligua-Aconcagua,93.8,111.5,258.7,0.51,0.446,Muy Alta,0.717,FAO
Embalse El Peral,Valparaíso,Costeras entre Aconcagua y Maipo,93.8,159.4,333.2,0.518,0.453,Muy Alta,0.717,FAO
Embalse,San Antonio,Rio Maipo,78.1,58.3,39.2,0.617,0.347,Alta,0.467,CIREN
Embalse La Luz,Valparaíso,Costeras entre Aconcagua y Maipo,93.8,133.4,262.6,0.768,0.672,Muy Alta,0.717,FAO
Laguna  El Plateado,Valparaíso,Costeras entre Aconcagua y Maipo,93.8,133.4,262.6,0.435,0.381,Alta,0.55,CIREN
Laguna Caracol,Valparaíso,Costeras entre Aconcagua y Maipo,93.8,133.4,262.6,0.657,0.576,Muy Alta,0.55,CIREN
Embalse Chico,Viña del Mar,Costeras entre Aconcagua y Maipo,93.8,159.4,333.2,0.702,0.615,Muy Alta,0.55,CIREN
Embalse La Invernada,Valparaíso,Costeras entre Aconcagua y Maipo,93.8,159.4,333.2,0.453,0.397,Alta,0.55,CIREN
Embalse Las Cenizas,Valparaíso,Costeras entre Aconcagua y Maipo,93.8,159.4,333.2,0.638,0.559,Muy Alta,0.55,CIREN
Laguna artificial Condominio San Alfonso,Algarrobo,Costeras entre Aconcagua y Maipo,81.2,71.6,75.7,0.488,0.304,Moderada,0.717,FAO
Embalse 1 Los Andes,San Esteban,Rio Aconcagua,75.0,55.4,31.8,0.338,0.169,Muy Baja,0.4,CIREN
Embalse 1 Santa María,Santa María,Rio Aconcagua,81.2,62.2,48.0,0.484,0.302,Moderada,0.384,CIREN
Embalse 10 San Esteban.,Santa María,Rio Aconcagua,81.2,63.4,50.8,0.239,0.149,Muy Baja,0.4,CIREN
Embalse 11 San Esteban.,Santa María,Rio Aconcagua,81.2,63.4,50.8,0.321,0.2,Muy Baja,0.525,CIREN
Embalse 12 San Esteban.,Santa María,Rio Aconcagua,81.2,63.4,50.8,0.354,0.221,Muy Baja,0.525,CIREN
Embalse 13 San Esteban.,San Esteban,Rio Aconcagua,75.0,55.4,31.8,0.259,0.13,Muy Baja,0.4,CIREN
Embalse 8 San Esteban.,San Esteban,Rio Aconcagua,68.8,48.6,15.6,0.221,0.083,Muy Baja,0.384,CIREN
Embalse 14 San Esteban.,San Esteban,Rio Aconcagua,75.0,55.4,31.8,0.354,0.177,Muy Baja,0.4,CIREN
Embalse 9 San Esteban.,San Esteban,Rio Aconcagua,68.8,48.6,15.6,0.211,0.079,Muy Baja,0.384,CIREN
Embalse 2 Santa María,Santa María,Rio Aconcagua,81.2,62.2,48.0,0.488,0.304,Moderada,0.4,CIREN
Embalse Putaendo,Putaendo,Rio Aconcagua,87.5,98.2,133.6,0.433,0.325,Moderada,0.0,CIREN
Embalse Sector Nogales,Nogales,Rio Aconcagua,90.6,118.0,226.1,0.462,0.376,Alta,0.356,CIREN
Embalse Putaendo 2,Putaendo,Rio Aconcagua,87.5,98.2,133.6,0.365,0.274,Baja,0.384,CIREN
Embalse sector Limache,Limache,Rio Aconcagua,93.8,134.4,247.8,0.382,0.334,Alta,0.295,CIREN
Embalse Llay Llay 1,Llaillay,Rio Aconcagua,87.5,103.0,135.0,0.616,0.462,Muy Alta,0.925,CIREN
Embalse 2 Los Andes,San Esteban,Rio Aconcagua,75.0,55.4,31.8,0.421,0.211,Muy Baja,0.525,CIREN
Embalse 9 Los Andes,Los Andes,Rio Aconcagua,81.2,63.4,50.8,0.219,0.137,Muy Baja,0.384,CIREN
Embalse 4 Los Andes,San Esteban,Rio Aconcagua,75.0,55.4,31.8,0.425,0.213,Muy Baja,0.384,CIREN
Embalse 8 Los Andes,Los Andes,Rio Aconcagua,81.2,63.4,50.8,0.233,0.145,Muy Baja,0.384,CIREN
Embalse 6 Los Andes,Los Andes,Rio Aconcagua,81.2,63.4,50.8,0.188,0.117,Muy Baja,0.384,CIREN
Embalse 7 Los Andes,Los Andes,Rio Aconcagua,81.2,63.4,50.8,0.192,0.12,Muy Baja,0.384,CIREN
Laguna Quebrada Cruz de Piedra,Papudo,Costeras Ligua-Aconcagua,87.5,96.9,211.7,0.73,0.548,Muy Alta,0.236,FAO
Humedal Sector Quebrada El Tigre,Zapallar,Costeras Ligua-Aconcagua,87.5,95.6,207.6,0.48,0.36,Alta,0.55,CIREN
Embalse,Rinconada,Rio Aconcagua,81.2,63.4,50.8,0.367,0.229,Muy Baja,0.434,CIREN
Embalse,Calle Larga,Rio Aconcagua,81.2,63.4,50.8,0.445,0.278,Baja,0.384,CIREN
Embalse,Rinconada,Rio Aconcagua,81.2,63.4,50.8,0.509,0.318,Moderada,0.384,CIREN
Quebrada Lance Bravo Norte,Algarrobo,Costeras entre Aconcagua y Maipo,81.2,71.6,75.7,0.493,0.307,Moderada,0.717,FAO
Embalse Sector Hijuelas,La Cruz,Rio Aconcagua,93.8,124.8,244.9,0.227,0.199,Muy Baja,0.42,CIREN
Embalse Los Culenes,Papudo,Rio Ligua,87.5,96.9,211.7,0.512,0.384,Alta,0.442,CIREN
Embalse,La Ligua,Rio Ligua,93.8,113.1,263.9,0.408,0.357,Alta,0.25,CIREN
Embalse,La Ligua,Rio Ligua,93.8,113.1,263.9,0.628,0.55,Muy Alta,0.553,FAO
Embalse,La Ligua,Rio Ligua,93.8,113.1,263.9,0.592,0.519,Muy Alta,0.553,FAO
Embalse,Papudo,Costeras Ligua-Aconcagua,87.5,96.9,211.7,0.487,0.365,Alta,0.442,CIREN
Embalse,Calle Larga,Rio Aconcagua,75.0,55.4,31.8,0.494,0.247,Baja,0.504,CIREN
Embalse Estero Las Salinas 1,Papudo,Costeras Ligua-Aconcagua,87.5,96.9,211.7,0.498,0.373,Alta,0.392,CIREN
Embalse Estero Las Salinas 2,Papudo,Costeras Ligua-Aconcagua,87.5,96.9,211.7,0.458,0.343,Alta,0.392,CIREN
Embalse Estero Las Salinas 3,Papudo,Costeras Ligua-Aconcagua,87.5,96.9,211.7,0.491,0.368,Alta,0.295,CIREN
Humedal sin identificar,Puchuncaví,Costeras Ligua-Aconcagua,87.5,96.3,177.4,0.552,0.414,Muy Alta,0.0,CIREN
Humedal Laguna El Criquet,Valparaíso,Costeras entre Aconcagua y Maipo,93.8,133.4,262.6,0.413,0.361,Alta,0.55,CIREN
Sector Quintay N°2,Casablanca,Costeras entre Aconcagua y Maipo,93.8,127.2,228.4,0.266,0.233,Baja,0.071,CIREN
Embalse,Calle Larga,Rio Aconcagua,75.0,55.4,31.8,0.544,0.272,Baja,0.525,CIREN
Sector Punta de Tralca N°2,El Quisco,Costeras entre Aconcagua y Maipo,81.2,59.5,46.0,0.33,0.206,Muy Baja,0.379,CIREN
Laguna Sector  Marbella,Puchuncaví,Costeras Ligua-Aconcagua,87.5,92.9,167.6,0.287,0.215,Muy Baja,0.089,CIREN
Humedal Av. Punta Puyai,Papudo,Costeras Ligua-Aconcagua,87.5,96.9,211.7,0.42,0.315,Moderada,0.442,CIREN
Embalse 8 Rinconada.,Rinconada,Rio Aconcagua,81.2,63.4,50.8,0.322,0.201,Muy Baja,0.384,CIREN
Embalse,Calle Larga,Rio Aconcagua,75.0,55.4,31.8,0.445,0.222,Muy Baja,0.384,CIREN
Embalse,Calle Larga,Rio Aconcagua,81.2,63.4,50.8,0.624,0.39,Alta,0.681,FAO
Embalse,Calle Larga,Rio Aconcagua,71.9,62.0,39.7,0.608,0.267,Baja,0.553,FAO
Embalse,Calle Larga,Rio Aconcagua,71.9,62.0,39.7,0.438,0.192,Muy Baja,0.544,CIREN
Embalse,Calle Larga,Rio Aconcagua,81.2,63.4,50.8,0.423,0.264,Baja,0.384,CIREN
Embalse,Rinconada,Rio Aconcagua,84.4,70.6,68.0,0.398,0.274,Baja,0.544,CIREN
Embalse,Calle Larga,Rio Aconcagua,81.2,63.4,50.8,0.253,0.158,Muy Baja,0.4,CIREN
Embalse,Llaillay,Rio Aconcagua,87.5,103.0,135.0,0.404,0.303,Moderada,0.2,CIREN
Embalse,Llaillay,Rio Aconcagua,87.5,92.1,119.1,0.365,0.274,Baja,0.525,CIREN
Embalse,Calle Larga,Rio Aconcagua,81.2,63.4,50.8,0.318,0.198,Muy Baja,0.4,CIREN
Humedal sector estadio L. Jelves,Papudo,Costeras Ligua-Aconcagua,87.5,96.9,211.7,0.457,0.343,Alta,0.236,FAO
Embalse,Rinconada,Rio Aconcagua,81.2,63.4,50.8,0.358,0.224,Muy Baja,0.525,CIREN
Embalse,Calle Larga,Rio Aconcagua,81.2,63.4,50.8,0.607,0.379,Alta,0.41,CIREN
Humedal Jardín Botánico,Viña del Mar,Costeras entre Aconcagua y Maipo,90.6,113.6,208.7,0.779,0.633,Muy Alta,0.55,CIREN
Embalse,Calle Larga,Rio Aconcagua,81.2,63.4,50.8,0.494,0.308,Moderada,0.544,CIREN
Embalse,San Antonio,Rio Maipo,81.2,63.5,51.6,0.636,0.397,Alta,0.55,CIREN
Embalse,San Antonio,Rio Maipo,81.2,63.5,51.6,0.473,0.295,Moderada,0.55,CIREN
Quebrada Las Petras,Algarrobo,Costeras entre Aconcagua y Maipo,81.2,71.6,75.7,0.565,0.353,Alta,0.717,FAO
Quebrada Las Petras,El Quisco,Costeras entre Aconcagua y Maipo,81.2,71.6,75.7,0.679,0.424,Muy Alta,0.717,FAO
Quebrada El Batro,El Quisco,Costeras entre Aconcagua y Maipo,81.2,71.6,75.7,0.532,0.332,Alta,0.717,FAO
Quebrada Pino Mar,El Quisco,Costeras entre Aconcagua y Maipo,81.2,71.6,75.7,0.383,0.239,Baja,0.0,FAO
Estero El Totoral,El Quisco,Costeras entre Aconcagua y Maipo,81.2,59.5,46.0,0.885,0.552,Muy Alta,0.717,FAO
Embalse,San Antonio,Rio Maipo,81.2,63.5,51.6,0.436,0.272,Baja,0.55,CIREN
Embalse sector Quebrada Los Coiles,San Antonio,Rio Maipo,81.2,64.6,54.2,0.744,0.464,Muy Alta,0.717,FAO
Embalse sector Quebrada Los Coiles,San Antonio,Rio Maipo,81.2,67.0,64.4,0.476,0.297,Moderada,0.229,CIREN
Humedal sector Las Palmas,Cartagena,Costeras entre Aconcagua y Maipo,81.2,67.0,64.4,0.746,0.466,Muy Alta,0.717,FAO
Estero de la Viña,Cartagena,Costeras entre Aconcagua y Maipo,81.2,67.0,64.4,0.77,0.48,Muy Alta,0.717,FAO
